big,small,arrival_time,cpu,mem,disk,lifetime,profit
0,1,0.1336190464688819,1,2,21,2.0164611001998964,3.7309355295105213
0,1,2.2499924369901,1,1,22,3.3662839300121243,3.363228476185494
0,1,3.0168351449977933,1,2,20,1.9817042493200447,4.2917609012834985
0,1,3.220060363318953,2,1,20,1.2324382377518157,4.4223126676450235
0,1,3.5311049759781317,1,3,21,3.04263084482518,4.831249818029364
0,1,3.5616646018293765,1,3,22,1.9043557638580568,3.418464915627388
0,1,3.6804356225948247,2,2,20,1.2659914666703092,4.712845500941599
0,1,3.7073615455091096,1,3,21,3.866386376214884,4.107511372891523
0,1,3.7632611237066786,3,2,21,1.7563850317167458,4.2388676489472825
0,1,3.8834635223377068,1,3,22,2.192209909620036,4.764974073151743
0,1,4.225733316758866,2,4,20,3.4133569652912135,3.158750642234338
0,1,5.9143866864433985,1,1,21,2.4511484881499532,3.2526651435881426
0,1,5.991543029743874,3,1,22,2.6222105431960236,4.423636638531187
0,1,6.195833558947749,1,2,21,2.8361778146538628,3.2917423914793833
0,1,6.356838201889987,2,2,20,3.5767333475867,3.872240001609352
0,1,6.734194561627502,2,3,19,3.7268960228152848,4.609241988911643
0,1,7.074141051236696,2,2,20,3.696672282788366,4.921111437252275
0,1,7.088357956054883,2,4,22,1.6151975216173522,4.999630917236169
0,1,7.122427136740192,2,4,20,3.4096885214996266,4.317603839523234
0,1,7.415538226511666,1,3,22,2.3311407513511146,4.264480041353844
0,1,7.844031317851154,3,4,21,1.887097542586687,4.120098214964478
0,1,8.095193082712049,3,4,20,3.2562593202253907,4.091006997639826
0,1,8.212339328536084,2,3,20,1.9589596640680194,3.8037541312324086
0,1,8.34229996702018,4,1,21,1.2028459842483317,3.4155307016069045
0,1,8.434561857120542,1,2,18,1.3487637568241326,4.7040890075369735
0,1,8.55682517972699,1,5,20,1.9891588058794971,3.972577462915699
0,1,8.754019068198529,1,3,18,2.80055037021016,3.4222437389342604
0,1,8.925477784451685,1,3,20,3.627880859551367,4.218556474047659
0,1,9.015370646558507,2,3,21,2.482024581740794,3.340613659850881
0,1,9.90774545583383,2,2,20,1.8225802264306705,4.866113715638846
0,1,9.96014010371373,3,4,21,3.1811679163705335,3.248004092661012
0,1,10.03782952491548,1,3,20,1.4477205341628034,4.043954595366459
0,1,10.909171469444217,1,2,20,1.646071188598988,3.870197383452752
0,1,12.01101495393123,1,2,20,1.0037492763844464,3.2625162289918213
0,1,12.422628749829158,1,1,20,3.011417335992169,3.622451232866367
0,1,12.491829990875008,3,1,21,3.1309482951206595,3.0371158939642524
0,1,12.615001462212554,3,2,20,1.7974702771601585,3.5831733342285164
0,1,12.830811830406041,1,3,22,1.258110703742673,3.5907311561147495
0,1,12.940611382451664,1,1,21,3.8098817317283027,4.480345151291899
0,1,12.961470952566886,2,5,20,2.991136844354473,3.405740171272029
0,1,12.96708212542118,2,1,21,1.5077609088704649,4.507145723903314
0,1,13.015822324807635,1,2,20,1.0229934635421105,4.347697452421301
0,1,13.222795562883034,1,3,20,3.1810757438241533,3.1326764954871344
0,1,13.259128710670252,2,3,21,3.67891373894565,4.789531434687249
0,1,14.271675445221119,1,3,21,1.5383085303905077,3.265473463474038
0,1,14.294105426443762,1,2,20,3.3102092331483286,3.1493453228038835
0,1,14.98692652243493,3,3,20,3.0771470122148203,4.374813375648824
0,1,15.127985541384769,1,3,20,2.130344202492495,3.738564042807903
0,1,16.019344333861206,1,2,21,3.0836005454044626,3.5765765002857717
0,1,16.131804902317604,1,3,20,3.729922056619035,3.557043137037744
0,1,16.568225781182413,2,3,22,2.9555119342680802,4.684586334945463
0,1,16.757822406844593,1,1,22,2.205408714681795,3.031632194750205
0,1,17.675115544338034,1,2,20,2.722259736981716,3.924976316719789
0,1,17.839209074227917,2,2,19,1.1947674530334953,3.8563153020834813
0,1,18.016605569845975,1,3,20,1.457380290120431,4.2643044423941685
0,1,19.052671605627996,1,4,21,2.9965119502102224,4.71007967703653
0,1,19.424912283336116,1,3,21,2.739915020777426,3.458345461863087
0,1,19.864715358982618,1,1,23,1.7220576513179644,4.439003089100575
0,1,20.040817443864913,1,2,20,3.225600572140137,4.344128612511974
0,1,20.087712780088786,2,2,21,2.517050649975348,3.140710253415323
0,1,20.150541022761,2,2,18,2.3371454432111407,4.491062131912201
0,1,21.332160868974896,2,2,21,2.2560657782302687,4.439349614906421
0,1,21.42802305789362,3,4,20,2.0349929221461536,3.44654161845233
0,1,21.879896960847116,1,3,19,2.5752410670172976,3.527337648468426
0,1,23.056074683336487,2,1,21,3.49177833239466,4.5004697121930715
0,1,23.49129876461665,2,4,21,3.1155447017857147,4.572467152007425
0,1,23.83665445845662,1,2,19,1.6131759387275908,4.887052595149114
0,1,24.06779542508176,3,3,22,2.1450704603325237,4.964332065808199
0,1,24.263630191715247,1,4,19,1.87998506363934,4.701402063213894
0,1,24.591045726625573,1,2,20,1.609699881089109,4.267899635222422
0,1,25.48098132307757,2,2,21,2.513128202003724,4.8286050438203825
0,1,25.68073380823283,1,2,20,3.158048874020878,3.5598063860040075
0,1,26.267104077784907,2,2,21,2.831763010728103,4.448320047110448
0,1,26.542999195509502,1,2,20,1.0639811216020632,4.9203548577511755
0,1,26.743073230874565,1,2,19,1.574998204864301,3.2335932289601796
0,1,27.215601521048512,2,2,20,2.677817458163256,3.9567432933255136
0,1,27.22420659460585,2,2,20,1.9874734787480226,3.2351061089467197
0,1,27.75112405240535,1,2,20,1.1746879927049232,3.5317186502178264
0,1,28.06201765167754,2,3,21,2.658027414312865,4.64710089661563
0,1,28.094320564410832,3,2,20,1.468775811797564,4.965404156559235
0,1,28.26838267726834,1,4,22,1.3969780148184663,3.779290249146371
0,1,28.387604206156034,2,3,22,2.007377743497968,3.7489922897825436
0,1,28.407771303174655,3,3,21,1.3642613389716285,4.285186175249023
0,1,28.65085170630418,1,2,21,2.037746850257126,3.6652501616543463
0,1,28.787830357284886,1,4,20,1.012923738856216,4.435137469917139
0,1,31.057901969072546,1,4,19,1.72414010726081,4.696326074912698
0,1,31.56530324002811,2,4,20,3.5207845087067824,3.6244707203636466
0,1,32.151663677604056,2,1,20,2.766983354130586,4.284620416362067
0,1,32.6740299366659,3,2,20,1.4995727326466701,4.260246419631438
0,1,33.377046831043366,2,3,20,1.5652392442792826,3.8048182920831493
0,1,33.60306331714525,1,3,20,3.006777871897688,3.978160383874738
0,1,33.61077237211566,2,3,18,2.718791736858915,3.5740715207682534
0,1,33.621026209192465,1,3,20,1.1387359896526545,3.3243930041963696
0,1,34.08797449011023,2,3,19,2.037321807171976,3.4569484205062375
0,1,34.393828121155515,1,2,20,1.0157556658551063,4.82186837304724
0,1,34.473598151572325,3,2,19,3.768600795116664,3.8258922058357614
0,1,34.81408983431287,1,2,20,1.8262479627272228,3.155030333240301
0,1,34.867258137106795,1,2,20,3.985213273735603,3.785278459286478
0,1,34.99081643551197,4,3,20,1.526441966533596,3.315644681240009
0,1,35.743562968960475,2,2,21,3.6503573365615,4.318171055501877
0,1,35.840394592447055,2,3,20,1.5207249199686659,4.8422138621837885
0,1,36.01452634948768,1,3,20,2.3421577019616686,3.8416612782347483
0,1,36.03148444061477,1,3,21,1.036186229122589,3.4263763525250477
0,1,37.84608701537098,1,3,23,3.034549354524292,3.6783284978581343
0,1,38.45260546542068,2,2,20,2.451527688810963,3.887668011426829
0,1,38.576739069874456,2,2,21,3.6155079548603597,3.3367750506228155
0,1,39.62855371239156,1,2,21,3.7051693250413567,3.104209485809537
0,1,39.85678572179948,4,2,21,1.226548300923653,3.1062941840559404
0,1,39.94223579723708,3,3,21,3.637761712920976,3.2906234954546676
0,1,40.42334010255894,2,3,21,2.423771347303038,4.589752588099624
0,1,40.75675025452606,3,2,19,2.4359972139825823,4.574833730637912
0,1,41.320429719280966,2,1,20,2.8454907881863383,3.0930325978425337
0,1,41.51138422796076,1,2,19,2.6167005689536094,3.399002363889464
0,1,42.21620346573704,3,5,19,3.6572703968306497,3.888785940254982
0,1,42.38148129331586,2,4,20,2.0356865418844654,4.123294311803532
0,1,42.60377932674424,3,3,21,2.042050620010015,3.7253188594821824
0,1,42.7798952153579,1,3,19,3.6687648285473697,3.986123009822424
0,1,43.457699160785616,4,2,19,1.9582835109315024,3.7414743638156107
0,1,43.54240876950474,2,3,20,1.5125311198019786,3.4780097673096844
0,1,43.626260953343824,1,4,20,3.406995345151619,4.544812999863625
0,1,44.70650670279503,1,5,21,2.4469394047975763,3.1509320850947713
0,1,45.005822651051155,2,4,22,1.6604550000776994,4.1327290386112505
0,1,45.104817592504205,1,1,21,2.248789095836823,4.916851424019324
0,1,45.22142311919553,1,3,21,3.277148248681347,3.3340446226628524
0,1,45.43561440220562,1,3,22,2.236446738502145,3.753909394340706
0,1,45.61704293455831,1,2,19,2.9804328737268206,4.450683223402701
0,1,46.04415947578802,1,2,22,3.2121623143661937,3.8610696580654116
0,1,46.08127739292527,1,4,20,2.5332547963844507,3.943499428357537
0,1,46.69101807338684,1,2,21,3.4271572539452375,4.828414209621907
0,1,46.91396391107165,1,2,20,3.812603870269683,4.164722729876475
0,1,47.071378451401,1,1,21,1.7037198252078132,4.746769591127002
0,1,47.56678227990627,1,3,21,3.742533469931349,4.231667362884619
0,1,47.62580298429976,1,1,21,1.6647925502248213,3.3262359857341854
0,1,47.94288739439119,1,4,21,1.0716931696578538,4.513462399605881
0,1,48.09893087982803,1,2,21,1.992881154191802,3.5387366095098827
0,1,48.69518893832735,2,2,22,3.6411449185794367,4.669727965415783
0,1,48.72871966398737,3,2,19,2.304797700088282,3.4089283987603394
0,1,49.190954975381096,1,4,22,2.257863081372055,3.9241146672460636
0,1,49.57566054883129,3,3,19,3.240105578352064,4.657396077499426
0,1,49.62011300306067,2,3,21,1.3356743062752807,4.431185530837559
0,1,49.81221208195757,2,2,21,3.219182388281018,4.6187664445812455
0,1,49.98781427875626,3,2,22,1.9017942261690801,4.722393129662365
1,0,3.0241965508849784,9,19,1023,9.044864012236614,5.1112158052307795
1,0,8.472382560109292,12,19,1022,9.81155189164728,7.824097241098773
1,0,9.429908075217314,11,20,1026,9.170739402154412,7.172400786478628
1,0,9.924216051752623,9,21,1025,8.586011799201021,8.999829975191487
1,0,11.237082497054342,11,20,1024,7.0171478816228845,8.592649562902238
1,0,18.347096888222953,10,19,1026,6.1305186045638,9.096278297628402
1,0,19.261672495457983,12,20,1025,5.965447230816518,5.7185806266805645
1,0,20.32577978610077,12,20,1024,6.534119244027153,8.614526678841603
1,0,24.772530915494045,11,21,1024,9.543032934907377,9.461088177777384
1,0,28.59685715889693,11,21,1024,7.972680482936115,9.040892186291126
1,0,30.743383868204667,11,21,1026,5.742146138763482,5.128928660774001
1,0,32.025779846738885,10,22,1025,8.593815117732902,7.41701979070373
1,0,32.05445993529109,10,22,1024,6.810005972250352,7.357573365763877
1,0,37.23517031417704,10,23,1024,5.534955449414348,7.5785105890843045
1,0,39.07536077564986,10,22,1024,8.199542716403775,8.298793496697275
1,0,39.2360610081797,10,21,1024,9.49432943757147,5.451826379953683
1,0,39.23709198390286,11,21,1023,8.667108468829401,8.365475840720237
1,0,41.09100812380972,11,21,1023,6.154859176914256,5.973840947360619
1,0,41.420575157367566,9,22,1025,7.74382085003408,9.525408886094489
1,0,43.69091418560937,9,20,1024,7.134361913675665,5.416393438080994
1,0,44.0740292183323,11,22,1026,5.855450801535938,9.31821498122607
1,0,46.36185027173077,11,20,1024,6.084183863229274,6.4639019705245815
1,0,46.91269915005194,10,21,1026,9.185323398569714,5.446410076441731
1,0,48.21590373576397,11,20,1023,5.279100836976347,9.728935439713123
