big,small,arrival_time,cpu,mem,disk,lifetime,profit
0,1,0.10691215238349525,3,4,21,1.8361554995844451,3.5820469562086226
0,1,0.6216378477560248,2,2,21,3.332101955116539,4.364108457754873
0,1,0.8451321129127491,3,3,21,2.4939194921956824,3.5236466625011533
0,1,0.9934443779147463,2,3,19,3.56150682583469,3.613990748127028
0,1,1.9027069346256065,3,3,21,2.3202649238403055,4.7580383701456626
0,1,2.1213310414432915,3,3,21,1.3910580558870476,4.381410290009958
0,1,2.713482791667337,1,3,18,3.3720044529950233,3.2308720682909855
0,1,2.7242398030929658,2,5,19,3.921804743663871,3.2212487030769106
0,1,2.7939462808108697,1,1,20,3.0548569317861576,4.926544098238862
0,1,2.984409131479855,1,3,19,3.5550476833721047,3.8952079304701934
0,1,4.789932530528143,3,4,19,1.6980174035067082,3.360157577839864
0,1,5.171840628974846,1,2,21,3.215470954734737,4.285298681754781
0,1,6.1046570455292875,2,3,20,1.726803872515247,3.7409927975214736
0,1,7.731127801168065,3,2,21,3.5460281288861433,4.5802546212185
0,1,8.123226266913951,1,2,18,3.7237925363666755,4.70825532321708
0,1,8.472226570732829,2,4,20,1.2117742518160548,3.5855325620456138
0,1,8.48750135709188,3,2,20,1.192914816737821,4.703441527007671
0,1,8.783410005756682,1,1,21,3.188426504508522,4.956432960520139
0,1,9.31265987493617,1,2,21,3.204969053301001,3.125241790973929
0,1,9.490673996796772,2,2,19,3.875438762296854,4.906643153243908
0,1,10.024321265887687,2,1,20,1.9724880774810623,3.7337579971521917
0,1,10.39994094917773,2,1,20,2.1902582472720806,3.887714043433257
0,1,11.056157132795402,1,3,22,1.8619540830775296,3.4697363088967808
0,1,11.07545676414398,2,3,20,1.0008774606086746,3.2643493583574132
0,1,11.236273608057253,1,5,19,2.07174297078567,3.797626677588248
0,1,11.56104213388243,2,1,21,1.9829236183482488,4.479082621156862
0,1,12.098079534026384,2,4,19,2.6628273625651153,3.971225476485183
0,1,12.546603932293264,2,2,22,2.688215185522693,3.5953719642142508
0,1,12.663200835618069,3,2,19,2.344707968101155,4.553157556948041
0,1,13.060369086123972,2,1,19,2.0525682526799196,4.453337105813062
0,1,13.619923600701373,1,1,18,1.021497051444166,4.271649883883326
0,1,15.424686038492185,1,2,20,3.9883200059758597,3.5541090449298283
0,1,15.559097783880087,2,3,19,1.555321411344707,3.0773164446050707
0,1,15.968998588949294,1,2,20,2.9775305768580442,4.947155326871432
0,1,16.190432269829085,2,3,20,1.8382973332158608,3.613256885928592
0,1,16.42158032267944,1,1,21,2.2970753257116825,4.294481330708064
0,1,16.587299016881285,1,3,20,2.143818111704996,4.555531917731299
0,1,17.635264178726878,2,2,20,3.671006626074245,3.5563206219563854
0,1,17.83770556437816,1,1,19,3.7042375547525768,3.927100270900085
0,1,18.06036606106145,1,2,22,1.2015533115548258,3.76916265898544
0,1,18.21835483133616,2,2,21,2.6861754305821792,3.024194950238847
0,1,18.59721969645164,1,3,18,2.7517789138924367,4.113189533281678
0,1,18.655935116881974,1,3,21,3.414585607453589,3.5594920163695574
0,1,18.89081343809245,3,3,21,2.1484655622791435,3.6375082751313697
0,1,19.1236491315123,2,3,20,3.7422780853910833,4.244018352517687
0,1,19.76329666009019,2,1,22,2.6658000525020276,3.0816024490728493
0,1,20.14706039585903,3,3,21,1.0605820038613227,3.58760516423421
0,1,20.452424089617196,1,2,19,1.2328036871769665,3.8338104306460465
0,1,20.56692875955528,3,1,21,2.1989524722518663,3.1244645906232584
0,1,21.2988838338425,2,5,20,1.7184955601380727,4.029310411401163
0,1,21.51564999610468,2,1,19,1.2842592786873068,3.4896596636623096
0,1,23.24634889776635,1,3,20,3.5203480251592945,4.38986830287233
0,1,24.160947584715775,2,2,21,3.253141166661147,4.400051986567565
0,1,24.270536890871917,1,1,20,3.637895568405424,4.7229118520074795
0,1,24.271887184106113,1,4,20,2.9172801915691773,3.4375907266153396
0,1,24.905185360479685,2,2,21,3.1878561196363675,4.188106214273908
0,1,25.82690888906448,1,3,20,2.0516596951870967,3.912858894511558
0,1,25.879388127262928,2,4,21,2.8842405467843686,3.363676855609257
0,1,25.89276677238294,1,2,20,3.136499825285117,3.2162255759628073
0,1,25.99101155676865,2,4,18,3.5219785440744205,4.542777838923001
0,1,26.29683580956795,2,1,20,3.6152893156961032,3.84295422592471
0,1,26.508740517600707,1,4,19,1.7131518429665225,3.1690624219056245
0,1,27.62001625449743,1,1,21,1.1943631129592656,3.810652799615073
0,1,28.67854321843614,2,2,20,1.4807258705928934,3.128988527610531
0,1,29.467928406896526,3,3,21,2.04162264797127,4.5229083237708885
0,1,29.62054295043037,3,3,21,3.889192999298149,3.357502608203551
0,1,30.31386256300416,1,2,20,1.3150832249001527,3.557322180791077
0,1,30.45721287545096,3,3,20,3.1290143387204727,4.6692340564187145
0,1,30.708244625193338,2,1,21,3.08167974021666,3.642044232840611
0,1,30.806788578399342,1,5,20,1.8686561612488548,4.04144245614466
0,1,31.443042726528816,1,3,19,1.5816093699708458,4.81649694152254
0,1,31.66735722196637,2,3,21,1.5341050111952494,4.778063601972104
0,1,31.8259903226191,1,3,18,3.8409726733350964,4.127310961994385
0,1,31.918976932199715,1,2,20,3.307127287964265,3.689779187524917
0,1,32.000102833614584,1,1,23,2.1883978450332906,3.4839681999746572
0,1,32.1573809767027,2,1,21,2.3579905958584977,3.727414480158419
0,1,32.6350947383928,3,1,20,1.9975215332489153,3.53625149505959
0,1,32.723430782282556,1,4,20,2.085395335143505,4.071109146990504
0,1,33.233022944672825,1,3,20,3.594315229664167,3.771990259410943
0,1,33.50571615168692,2,3,20,2.8979943786682045,3.052580977122035
0,1,33.559374799681855,2,2,21,1.478616103581376,4.7060538680499295
0,1,33.77154031309058,1,2,20,2.3692463765322866,3.3771724659876696
0,1,33.891865137822556,1,2,21,3.955631594265917,3.071970934127721
0,1,34.03207017782566,1,2,19,3.493328633225911,4.310596782358896
0,1,34.33561497401269,1,4,20,3.83167812134867,3.7670370235261927
0,1,34.33936797944449,2,2,21,2.2495502684996955,4.5089318937440765
0,1,34.855859152392014,1,2,22,3.139255459319312,4.927849047888319
0,1,35.61044688506713,1,1,20,2.560111960605872,4.705730983247151
0,1,36.18445279568221,1,3,20,3.0974726862030364,3.2622081303123585
0,1,36.75021706756168,2,2,21,1.2075655488137977,4.0454187561433095
0,1,36.9432376234197,1,3,21,3.397290975229667,4.297088880795609
0,1,38.48077668598379,1,1,22,1.488540254470471,4.549838672184234
0,1,38.71625121303368,1,2,20,2.7869987497107487,4.479999865803332
0,1,38.94247195834611,1,3,19,2.8553990523656214,4.074179861886891
0,1,39.70905403835825,1,2,19,3.588603240321968,3.444551763315973
0,1,39.76002819006278,2,3,21,1.4952765699105366,4.657286175105462
0,1,40.205326529397595,2,3,20,1.4905444574997406,3.336041129216097
0,1,40.377792503361746,1,2,20,1.1291099462815315,4.32117380832346
0,1,40.80460851732365,1,4,20,2.922490155587999,4.608511820038363
0,1,41.207057349141614,2,2,21,2.065491580623706,3.9428715800731844
0,1,41.27536429047814,1,4,22,3.5150676292627354,3.3911713762834594
0,1,41.56578642733802,3,3,21,3.267631027588314,3.303005673032224
0,1,42.4515865189258,1,2,21,2.8715174735833524,3.186911257600392
0,1,43.68570918574387,1,1,20,3.5665489156267935,3.5202304338795565
0,1,44.91322401459986,1,2,21,1.9868005150770074,3.9913264100995676
0,1,45.095179717696254,1,3,20,2.986930571150573,4.177843417237271
0,1,45.33908753282229,2,1,22,2.8345645471463405,4.7461840259219805
0,1,45.40080725918153,1,3,21,3.012181595812626,4.011268935745306
0,1,45.775202227138685,3,3,20,3.694873034986455,4.286117764591069
0,1,45.98194429482738,2,1,20,1.5290127015289108,4.824458514176147
0,1,47.52678344683955,2,3,21,1.9626940066844107,3.6596829930694112
0,1,47.69319235023847,1,2,21,3.3807937635314214,3.986945183830108
0,1,48.02665852367485,2,3,21,2.001377359689857,3.2477657182787114
0,1,48.78520499202394,1,2,20,3.2556068285862567,3.7754778369773243
0,1,48.99900067278348,2,2,20,3.7876486488314125,3.945618919865245
0,1,49.103636607713185,1,2,20,2.62598723868305,4.270219091507524
0,1,49.44931396894433,1,3,19,3.610702662856582,3.981914093491709
0,1,49.514401232828426,1,3,19,3.1762694475544055,3.6824571441806073
0,1,49.851464871615924,1,3,21,2.3972929184266922,4.367206209810509
0,1,49.96412471282251,2,3,18,3.727698893649244,4.524364490020677
1,0,0.4355796796470571,10,21,1024,9.107815084691893,5.9195436462666855
1,0,4.275621055561979,8,20,1024,9.530037662174122,9.587818103422647
1,0,6.774300475093357,12,20,1024,5.847367852400866,5.0514505971984445
1,0,7.556848032472741,11,21,1023,5.602373162977351,6.6904720471401085
1,0,12.344051126471172,10,23,1024,8.031419478253028,5.989843853764598
1,0,12.419088688370309,9,21,1027,6.921872914976144,6.559014852934324
1,0,13.790748649114775,10,21,1024,5.143337346657884,6.222365507873123
1,0,14.999646122199607,11,23,1026,9.84527155781155,9.703462162749476
1,0,15.85671492300318,10,20,1025,9.62136153074739,9.906204048731244
1,0,16.049111962746682,12,20,1025,5.7711380440958795,8.277390728145281
1,0,17.280849728601027,12,21,1025,5.479112636157397,6.887565336722427
1,0,26.03497740172834,11,20,1025,7.317682284280867,6.802116827903278
1,0,29.70674458525112,9,20,1026,6.857461645275782,6.2146559773108905
1,0,30.593696012589444,11,20,1024,7.8572422366455035,9.050033957091035
1,0,31.52812021823349,11,21,1024,6.254704398934375,6.779605213963465
1,0,31.750625442447053,11,20,1025,9.75054651302166,9.733566711906137
1,0,34.02499296223192,12,19,1024,7.684844902513657,7.534202419517956
1,0,38.454309822250046,10,20,1024,8.73266852699091,6.1580514781064
1,0,40.57902503911993,10,22,1025,7.0045823803634235,5.1430522239999545
1,0,48.96209833096897,10,21,1023,7.700937288185348,9.856712321769326
