big,small,arrival_time,cpu,mem,disk,lifetime,profit
0,1,0.33874940645344603,2,2,21,2.6110467682190937,3.3318280550967714
0,1,0.4939781517474565,2,3,21,1.4602054215272733,3.3427342178593467
0,1,1.5169815012377454,1,3,21,2.0175452942069483,4.789559470774003
0,1,1.644858217364237,2,2,21,2.3907431487743,3.907713636968081
0,1,1.7962502420239357,1,1,21,1.0482913107728715,4.638995829745643
0,1,2.0322745161953963,2,1,19,2.685466065827248,4.733182585419023
0,1,2.3966340842475304,1,2,21,2.6463914395519788,4.9595038795896285
0,1,2.7123893245506694,1,3,21,1.779052817428079,4.413115510080952
0,1,2.8344512308604304,1,2,20,3.933196200578506,4.060444545926077
0,1,3.0877487387550167,1,4,19,1.6616495995965097,4.132141032951807
0,1,3.2436970881301392,1,1,20,3.0202080585309314,3.5411505951254503
0,1,3.2568658978109655,1,3,20,2.3015464329268838,3.664997458388112
0,1,3.43966629728883,1,3,20,3.249397335331572,3.157536075113324
0,1,3.6808985326873973,1,5,22,2.8808322751905138,4.359065193913909
0,1,4.348856498561259,1,4,21,1.2213238731624179,3.170978302857069
0,1,5.042715591349349,1,3,20,1.5721269351632154,3.354170045852861
0,1,6.026195566452884,2,4,19,2.4822157516101684,3.7244543192725375
0,1,6.342161926170131,3,2,19,2.607427666024959,3.8998716096321293
0,1,6.43322013378833,2,4,21,2.4014602844204775,4.423200182807701
0,1,6.823531549613253,2,3,20,1.606663801243414,4.853365118285771
0,1,7.130340837127635,3,2,21,3.8727904667298425,4.426718883550051
0,1,7.2624269655286655,2,1,20,1.2843202024039384,4.915694214797982
0,1,7.3705342419376,1,3,21,2.822807953514946,3.722751914805384
0,1,7.55146929822459,2,2,22,1.4389696395239633,4.781826445473613
0,1,7.585383732538487,2,2,21,1.82110579899244,3.4956060372288276
0,1,7.614664172720581,3,3,21,2.222858824163801,4.394129495081691
0,1,8.521133329205961,1,1,20,1.4069384495957253,3.0699582474900504
0,1,8.52791115715202,2,3,20,1.382625248014038,3.3674039372408338
0,1,9.256584098864375,1,2,19,1.0286482511450266,3.1351699479745734
0,1,9.808071285566452,1,3,20,1.9982921493396923,4.975766951177272
0,1,9.87349663938147,2,4,22,3.5555413283207833,3.435826579040673
0,1,9.911912733919388,3,4,21,3.642683707081597,4.716254971459946
0,1,10.333057421691052,2,4,21,3.0305737488840396,4.054271862835962
0,1,10.465148372636575,2,3,21,1.0032710042243829,3.795376334900027
0,1,11.156713330774439,1,4,21,2.741237048737453,3.4861390563198817
0,1,11.338179352834178,2,3,20,2.2449320279225256,4.005825079984652
0,1,11.730274337515105,1,2,20,2.958233235020458,4.331281460969251
0,1,11.989031165980423,3,3,20,2.021668915079788,3.931217088908999
0,1,12.48354438373556,3,3,20,1.9615743499352227,3.747339561739955
0,1,12.508340729717418,2,3,20,2.2326766246300336,3.6471205795339943
0,1,12.64499770222311,3,2,19,2.788780761710544,4.160822214421936
0,1,12.666693667870641,2,2,21,2.5856695952535533,3.7846814526044925
0,1,12.709922461624977,2,2,20,3.4896580270036326,4.94642549907045
0,1,12.745926915281046,3,2,19,2.369268030877179,3.8896607330931854
0,1,13.348990643570362,1,2,19,3.416985569117784,3.9296999224129197
0,1,14.12315567747163,2,4,20,2.5666267611462388,3.9855408049700687
0,1,14.33397822637251,1,3,22,3.550215723531335,3.9602340149369804
0,1,14.350493514807063,1,3,20,1.5334365817912876,4.819290626652201
0,1,14.84284701017498,1,4,21,1.280882511989598,4.221332602108173
0,1,15.02949774857685,3,3,21,2.486031774324326,4.6363587159713395
0,1,15.22833500065884,1,2,20,3.743145116948331,3.095196913194104
0,1,15.247317693563721,2,1,21,2.618102173447032,3.925774782778118
0,1,15.507216356429518,1,2,21,3.781785401712502,3.2533466868859167
0,1,15.68149575217847,1,2,19,2.2412899308158196,4.340701347785972
0,1,17.965638101551885,1,4,21,2.6028123913327224,3.0909133004710787
0,1,18.065179307245206,1,1,21,3.2042407736495746,3.546294554802551
0,1,18.149009454466157,1,2,21,1.4824476222858003,3.9305693579514505
0,1,18.350574418887774,1,5,20,2.64233714378555,4.880075697631979
0,1,18.63099935052575,1,2,20,1.6875677819162722,3.2231991567310025
0,1,18.673771205093168,2,2,20,3.7879746176627878,3.5101064245994467
0,1,19.527234798078,2,1,20,1.4940620178666055,4.922217534802283
0,1,20.626383631608462,2,3,22,3.6412877326280975,4.00679148233207
0,1,23.126299959825037,1,3,19,2.785451702359449,4.6237466264289155
0,1,23.687446817842105,3,2,21,3.075564577512774,4.671941267064238
0,1,24.157338169413663,3,2,20,1.738622803719974,4.165079327506406
0,1,24.459993143884432,2,3,19,2.798417081324108,4.173871346047394
0,1,25.181826129777846,2,1,21,1.355497637824986,3.2799563683389805
0,1,25.264554656983922,1,1,21,1.0205224649568394,4.664151700930069
0,1,25.339204119297307,2,3,20,2.0509072680157674,3.48885541782432
0,1,26.297061502259268,3,4,22,2.1843465887373616,3.334719824363587
0,1,26.57718208682518,2,1,21,1.7705586487188298,4.15866822211869
0,1,26.644070182274888,2,4,22,2.730918754012662,4.46414888095232
0,1,26.974028202986517,1,4,20,1.3656237629055237,4.7414847496075
0,1,27.33551175949346,2,2,19,2.7952828278881707,4.838907557085777
0,1,27.621307324046196,2,3,21,3.1598790788450604,4.352370455676007
0,1,27.659937431695642,1,2,20,2.755287456383598,4.4281237814807115
0,1,28.066305002811056,1,3,20,2.4083453886819886,3.3603288810725243
0,1,28.088954773831606,2,1,21,3.3410989577578722,4.574422129505214
0,1,28.257464806456124,1,3,19,2.022934987665864,3.4246560529157133
0,1,29.154490890858877,1,4,21,1.142902240775694,3.5120963511428753
0,1,29.172794059320605,1,4,21,2.7136744542496545,4.461654558925357
0,1,29.209265680454074,2,2,22,2.1640375655557342,3.4348533925833276
0,1,29.743792747262468,2,3,21,2.7143280413153263,4.894893324643651
0,1,29.816863607607594,1,4,19,2.0994341887135675,3.887427298935322
0,1,30.124640713752225,1,3,20,3.299402832850855,4.2860703981657675
0,1,30.214818818271432,1,2,20,2.66170977361553,3.175899829335346
0,1,30.261487838175256,3,4,20,1.081867419991085,4.952566602521884
0,1,31.236507425035324,1,2,19,3.964851774689458,4.46917248951565
0,1,31.431814354907477,1,2,21,3.0271856418967076,3.595103041381927
0,1,31.72772202990758,2,3,19,3.041784115001478,3.8322601993826497
0,1,31.80214430325669,1,2,20,2.00668964255202,3.035255801591232
0,1,31.96026214215858,2,3,21,1.9912746244169321,4.141474394631289
0,1,33.12824805782051,1,3,21,1.4103972479781466,4.5893453570490355
0,1,33.920496381110596,1,3,20,2.441044179512132,3.0735193398569374
0,1,33.92179376383761,3,3,21,1.9189911482906785,4.266634643939542
0,1,34.153069480602724,2,3,21,2.5258968915097384,4.2004803285930485
0,1,34.469935823549505,2,2,20,1.3074753926580285,4.9720775943562145
0,1,35.88385018344901,1,3,21,2.6437946748049415,4.7701083740483865
0,1,35.89161031879147,2,4,18,1.4736247933343434,4.411836592212487
0,1,36.11559938676844,3,3,22,3.3934632155339566,4.496679325001968
0,1,36.76024304315415,2,1,21,1.0600755282932977,3.407169410868018
0,1,36.78526090719809,2,4,21,3.9217726600042364,3.31123250728633
0,1,36.861532208268926,1,2,21,2.1175438934280675,3.054107056180464
0,1,37.33864402654225,2,2,20,3.0923629594994293,3.5921058726689212
0,1,37.48651506357344,2,1,21,2.6898425479997874,3.9052587217706254
0,1,37.823321064786946,2,4,20,3.9809556250112097,4.291261125961047
0,1,38.349001732910615,2,5,20,1.2316946634226325,3.247705606156358
0,1,38.35386769493451,1,4,22,1.3704871214830732,4.341054190114688
0,1,39.353161999032615,2,2,22,1.1091923200794611,4.8537141066681295
0,1,40.226442945678386,1,4,20,2.059945003559994,3.164848712614653
0,1,41.15627786435577,1,1,20,1.6667710591163656,3.041453111048224
