big,small,arrival_time,cpu,mem,disk,lifetime,profit
0,1,0.23616743052555783,1,3,23,2.3541423162136366,3.3030721459678514
0,1,0.3003391693463715,2,4,19,1.0345594991273175,4.159297576685628
0,1,0.40763894227522846,2,2,20,1.2540698807549804,3.073317844383227
0,1,0.7255037416525285,2,3,21,1.6503053232244014,3.79538693614471
0,1,1.6028793342622993,1,4,20,1.5863399716181235,4.939090265669371
0,1,1.6731510336409052,3,3,20,3.0102564421040463,4.546427295993036
0,1,1.9475522233124158,1,4,21,2.0114445627558135,3.0686560201831
0,1,2.407899346545252,1,2,22,1.8046867750940536,3.3281353575162753
0,1,2.8043592781893962,1,2,19,1.0484782736717069,4.038456818696963
0,1,3.070146435265783,1,3,20,1.5942085059343254,3.663113009443212
0,1,3.314180930615369,1,4,20,2.44478831399953,4.031745629029702
0,1,3.7742288765623746,3,3,21,2.8694908455441204,3.5493529178506464
0,1,3.8004834551532536,2,3,20,1.1510257873147518,3.6921729647125123
0,1,3.9193197756639377,1,3,22,1.5621832863284772,4.046894991038675
0,1,4.174779065068072,1,3,22,2.501636964252924,3.101993825426939
0,1,4.4335379834218624,2,3,20,1.519110238742361,4.16095635629552
0,1,4.514893245452995,2,1,19,2.53371078644239,3.135819386938188
0,1,4.515217957988609,2,3,21,1.8387989451963334,4.052198506109923
0,1,5.396328237219584,1,3,21,2.711148954976884,3.499288228091599
0,1,5.5398616479525185,1,3,20,3.819627607058328,3.3907390739701793
0,1,5.612712124736647,1,2,21,3.2439098698547806,4.919062839445426
0,1,5.676104724454179,3,1,21,1.956400905189895,4.042424528152853
0,1,6.094843069140356,2,1,22,1.2221142089535013,3.1645870886173015
0,1,7.719091868544863,2,3,21,2.9431744232004644,4.039667806055899
0,1,7.750469151738076,3,4,21,2.6674339907864537,4.965819084601137
0,1,7.756050582510448,2,3,21,1.370214006061357,4.300903001171282
0,1,7.9389538619688205,1,2,20,2.937417908508679,3.5139709147048235
0,1,8.13418215877454,1,1,22,1.0495486726109733,3.7062863066251226
0,1,8.624358224023991,3,1,20,3.3772052231376066,3.3145731784364276
0,1,8.634979300759593,1,3,20,2.318717332645925,3.0823859819727684
0,1,8.731695107457883,1,2,20,3.871922225461473,3.855899583636978
0,1,8.76280534783363,2,2,19,3.0517675427701234,3.544705722614931
0,1,9.009317149596782,2,3,19,1.146269784149406,3.613635744896812
0,1,9.22124455617356,2,1,19,1.8050888335802915,4.831572197966889
0,1,9.871004356305953,1,2,21,2.0216385993680484,4.35989253284362
0,1,10.270240813262212,1,2,22,1.8784093161244808,3.4091129202889907
0,1,10.706970057633558,1,4,21,3.640609676317435,4.004426801690609
0,1,10.902789461851974,1,2,19,1.8436244078621495,4.624222658634333
0,1,10.937254734388329,4,3,19,1.3968503876138763,3.220880270261997
0,1,11.94539449620212,1,2,22,2.659252566216302,4.7926990538681675
0,1,11.979778953832326,1,4,20,2.874324130224788,4.737658159402981
0,1,12.142088744032888,2,3,21,1.0758533729298407,4.389383009863648
0,1,12.285865242098765,3,3,22,1.9563769927360517,4.613587535139021
0,1,13.274963283638742,3,3,22,2.317860440358655,4.180689820219273
0,1,13.515319624066692,2,3,21,2.6082203267620985,3.7697218753105357
0,1,13.967858820878634,3,2,20,1.1209835098238554,3.0732108072287216
0,1,14.643431421498363,1,3,19,3.0255999320005422,3.1491350344214974
