#req	time (sec)	avg. time (sec)	mapping
0	2.841	0.000	OK
1	2.224	0.000	OK
2	2.225	0.000	OK
3	1.612	0.000	OK
4	1.996	0.000	OK
5	1.556	0.000	OK
6	2.800	0.000	OK
7	2.130	0.000	OK
8	2.962	0.000	OK
9	2.289	0.000	OK
10	2.004	2.180	OK
11	1.650	2.122	OK
12	2.962	2.196	OK
13	2.226	2.257	OK
14	3.034	2.361	OK
15	2.236	2.429	OK
16	3.030	2.452	OK
17	1.578	2.397	OK
18	3.108	2.411	OK
19	1.970	2.380	OK
20	2.224	2.402	OK
21	3.528	2.590	OK
22	2.285	2.522	OK
23	2.052	2.504	OK
24	2.225	2.424	OK
25	1.643	2.364	OK
26	1.561	2.217	OK
27	1.673	2.227	OK
28	2.238	2.140	OK
29	1.670	2.110	OK
30	2.926	2.180	OK
31	2.186	2.046	OK
32	2.953	2.113	OK
33	3.133	2.221	OK
34	1.647	2.163	OK
35	2.968	2.296	OK
36	1.598	2.299	OK
37	2.962	2.428	OK
38	1.629	2.367	OK
39	1.667	2.367	OK
40	3.117	2.386	OK
41	2.247	2.392	OK
42	1.660	2.263	OK
43	1.595	2.109	OK
44	1.652	2.109	OK
45	2.301	2.043	OK
46	3.050	2.188	OK
47	1.657	2.057	OK
48	1.656	2.060	OK
49	2.206	2.114	OK
50	2.287	2.031	OK
51	2.222	2.028	OK
52	2.948	2.157	OK
53	3.049	2.303	OK
54	2.326	2.370	OK
55	2.973	2.437	OK
56	2.961	2.428	OK
57	2.925	2.555	OK
58	2.183	2.608	OK
59	2.158	2.603	OK
60	1.542	2.529	OK
61	1.610	2.468	OK
62	2.061	2.379	OK
63	2.172	2.291	OK
64	2.233	2.282	OK
65	2.998	2.284	OK
66	2.681	2.256	OK
67	2.408	2.205	OK
68	3.028	2.289	OK
69	2.288	2.302	OK
70	4.036	2.552	OK
71	2.277	2.618	OK
72	2.864	2.699	OK
73	2.377	2.719	OK
74	2.296	2.725	OK
75	2.232	2.649	OK
76	1.659	2.546	OK
77	2.309	2.537	OK
78	2.239	2.458	OK
79	2.889	2.518	OK
80	2.317	2.346	OK
81	2.963	2.414	OK
82	1.660	2.294	OK
83	3.360	2.392	OK
84	2.950	2.458	OK
85	2.316	2.466	OK
86	5.369	2.837	OK
87	2.895	2.896	OK
88	2.977	2.970	OK
89	2.905	2.971	OK
90	3.104	3.050	OK
91	1.600	2.914	OK
92	2.317	2.979	OK
93	2.315	2.875	OK
94	2.917	2.872	OK
95	3.083	2.948	OK
96	7.782	3.190	OK
97	2.339	3.134	OK
98	2.731	3.109	OK
99	2.968	3.116	OK
100	2.078	3.013	OK
101	2.033	3.056	OK
102	2.299	3.055	OK
103	2.293	3.052	OK
104	3.078	3.068	OK
105	1.646	2.925	OK
106	2.309	2.378	OK
107	2.268	2.370	OK
108	3.087	2.406	OK
109	2.261	2.335	OK
110	3.656	2.493	OK
111	2.728	2.563	OK
112	1.592	2.492	OK
113	4.150	2.677	OK
114	1.613	2.531	OK
115	1.617	2.528	OK
116	2.323	2.529	OK
117	2.328	2.535	OK
118	2.330	2.460	OK
119	2.322	2.466	OK
120	2.981	2.398	OK
121	2.220	2.347	OK
122	1.662	2.354	OK
123	2.324	2.172	OK
124	3.147	2.325	OK
125	2.679	2.431	OK
126	2.315	2.431	OK
127	2.021	2.400	OK
128	2.953	2.462	OK
129	3.042	2.534	OK
130	5.795	2.816	OK
131	2.999	2.894	OK
132	2.337	2.961	OK
133	2.954	3.024	OK
134	2.999	3.009	OK
135	3.511	3.093	OK
136	1.674	3.028	OK
137	3.026	3.129	OK
138	1.679	3.002	OK
139	2.352	2.933	OK
140	2.255	2.579	OK
141	1.677	2.446	OK
142	2.967	2.509	OK
143	2.986	2.513	OK
144	2.276	2.440	OK
145	1.674	2.257	OK
146	1.627	2.252	OK
147	4.755	2.425	OK
148	3.878	2.645	OK
149	3.127	2.722	OK
150	1.992	2.696	OK
151	1.637	2.692	OK
152	3.675	2.763	OK
153	2.255	2.690	OK
154	2.338	2.696	OK
155	2.282	2.757	OK
156	2.333	2.827	OK
157	3.091	2.661	OK
158	2.268	2.500	OK
159	5.805	2.768	OK
160	2.994	2.868	OK
161	2.327	2.937	OK
162	1.615	2.731	OK
163	1.599	2.665	OK
164	6.053	3.037	OK
165	1.679	2.976	OK
166	2.917	3.035	OK
167	1.668	2.892	OK
168	3.094	2.975	OK
169	3.063	2.701	OK
170	2.947	2.696	OK
171	2.968	2.760	OK
172	2.008	2.800	OK
173	1.665	2.806	OK
174	4.771	2.678	OK
175	2.240	2.734	OK
176	3.082	2.751	OK
177	2.977	2.882	OK
178	1.669	2.739	OK
179	3.145	2.747	OK
180	3.081	2.761	OK
181	2.326	2.696	OK
182	2.984	2.794	OK
183	3.093	2.937	OK
184	2.019	2.661	OK
185	2.992	2.737	OK
186	1.665	2.595	OK
187	1.669	2.464	OK
188	1.622	2.460	OK
189	1.674	2.312	OK
190	1.740	2.178	OK
191	2.327	2.178	OK
192	1.615	2.042	OK
193	2.256	1.958	OK
194	2.259	1.982	OK
195	2.961	1.979	OK
196	1.617	1.974	OK
197	1.609	1.968	OK
198	3.658	2.172	OK
199	2.977	2.302	OK
200	5.353	2.663	OK
201	2.328	2.663	OK
202	2.936	2.795	OK
203	3.382	2.908	OK
204	2.295	2.912	OK
205	4.152	3.031	OK
206	2.323	3.101	OK
207	3.059	3.246	OK
208	2.260	3.107	OK
209	1.750	2.984	OK
210	1.611	2.609	OK
211	2.220	2.599	OK
212	5.850	2.890	OK
213	5.226	3.075	OK
214	3.135	3.159	OK
215	2.326	2.976	OK
216	2.992	3.043	OK
217	1.602	2.897	OK
218	3.307	3.002	OK
219	1.720	2.999	OK
220	3.088	3.147	OK
221	5.883	3.513	OK
222	3.018	3.230	OK
223	5.524	3.260	OK
224	2.272	3.173	OK
225	2.249	3.165	OK
226	3.909	3.257	OK
227	2.984	3.395	OK
228	4.938	3.559	OK
229	2.985	3.685	OK
230	7.747	4.151	OK
231	2.959	3.858	OK
232	2.878	3.844	OK
233	1.604	3.453	OK
234	3.115	3.537	OK
235	2.328	3.545	OK
236	1.601	3.314	OK
237	2.028	3.218	OK
238	2.684	2.993	OK
239	4.137	3.108	OK
240	1.670	2.500	OK
241	1.599	2.364	OK
242	3.537	2.430	OK
243	1.613	2.431	OK
244	2.989	2.419	OK
245	1.682	2.354	OK
246	2.984	2.492	OK
247	1.598	2.449	OK
248	2.326	2.413	OK
249	1.669	2.167	OK
250	3.128	2.312	OK
251	2.939	2.446	OK
252	2.967	2.389	OK
253	4.202	2.648	OK
254	2.917	2.641	OK
255	2.964	2.769	OK
256	2.252	2.696	OK
257	2.950	2.831	OK
258	2.386	2.837	OK
259	4.772	3.148	OK
260	1.664	3.001	OK
261	2.330	2.940	OK
262	2.256	2.869	OK
263	2.712	2.720	OK
264	2.261	2.655	OK
265	2.263	2.585	OK
266	3.068	2.666	OK
267	2.732	2.644	OK
268	2.005	2.606	OK
269	1.576	2.287	OK
270	2.976	2.418	OK
271	2.251	2.410	OK
272	3.566	2.541	OK
273	1.611	2.431	OK
274	2.968	2.502	OK
275	2.322	2.508	OK
276	5.174	2.718	OK
277	6.655	3.111	OK
278	5.336	3.444	OK
279	2.270	3.513	OK
280	7.756	3.991	OK
281	2.003	3.966	OK
282	4.112	4.021	OK
283	2.265	4.086	OK
284	4.141	4.203	OK
285	7.773	4.748	OK
286	2.019	4.433	OK
287	3.645	4.132	OK
288	2.928	3.891	OK
289	4.793	4.143	OK
290	3.907	3.759	OK
291	1.603	3.719	OK
292	1.663	3.474	OK
293	2.305	3.478	OK
294	1.676	3.231	OK
295	3.557	2.810	OK
296	5.788	3.187	OK
297	8.502	3.672	OK
298	2.219	3.601	OK
299	1.669	3.289	OK
300	6.676	3.566	OK
301	2.281	3.634	OK
302	2.985	3.766	OK
303	1.982	3.733	OK
304	1.684	3.734	OK
305	2.978	3.676	OK
306	1.668	3.264	OK
307	3.813	2.795	OK
308	5.392	3.113	OK
309	3.128	3.259	OK
310	2.250	2.816	OK
311	5.862	3.174	OK
312	6.088	3.484	OK
313	2.825	3.569	OK
314	2.317	3.632	OK
315	4.138	3.748	OK
316	2.084	3.790	OK
317	1.644	3.573	OK
318	3.342	3.368	OK
319	3.560	3.411	OK
320	1.665	3.352	OK
321	2.885	3.055	OK
322	3.906	2.837	OK
323	1.621	2.716	OK
324	2.347	2.719	OK
325	5.370	2.842	OK
326	4.205	3.054	OK
327	2.989	3.189	OK
328	1.616	3.016	OK
329	1.678	2.828	OK
330	1.670	2.829	OK
331	2.320	2.772	OK
332	4.112	2.793	OK
333	2.078	2.839	OK
334	2.989	2.903	OK
335	2.910	2.657	OK
336	2.285	2.465	OK
337	3.095	2.475	OK
338	2.319	2.546	OK
339	4.703	2.848	OK
340	2.256	2.907	OK
341	5.809	3.256	OK
342	2.268	3.071	OK
343	4.198	3.283	OK
344	2.981	3.282	OK
345	4.712	3.463	OK
346	2.317	3.466	OK
347	4.279	3.584	OK
348	1.676	3.520	OK
349	4.993	3.549	OK
350	2.890	3.612	OK
351	2.308	3.262	OK
352	4.938	3.529	OK
353	2.220	3.331	OK
354	5.843	3.618	OK
355	1.667	3.313	OK
356	2.240	3.306	OK
357	1.648	3.042	OK
358	6.675	3.542	OK
359	1.580	3.201	OK
360	5.776	3.489	OK
361	7.738	4.032	OK
362	3.376	3.876	OK
363	5.762	4.230	OK
364	1.608	3.807	OK
365	3.145	3.955	OK
366	2.962	4.027	OK
367	2.244	4.087	OK
368	3.137	3.733	OK
369	4.784	4.053	OK
370	6.649	4.141	OK
371	5.036	3.870	OK
372	2.260	3.759	OK
373	6.104	3.793	OK
374	3.074	3.939	OK
375	2.986	3.924	OK
376	2.925	3.920	OK
377	6.033	4.299	OK
378	3.870	4.372	OK
379	5.025	4.396	OK
380	3.962	4.127	OK
381	4.191	4.043	OK
382	2.312	4.048	OK
383	3.066	3.744	OK
