#req	time (sec)	avg. time (sec)	mapping
0	0.918	0.000	OK
1	0.934	0.000	OK
2	0.920	0.000	OK
3	0.935	0.000	OK
4	0.940	0.000	OK
5	0.896	0.000	OK
6	0.942	0.000	OK
7	0.896	0.000	OK
8	2.748	0.000	OK
9	0.922	0.000	OK
10	0.900	1.103	OK
11	2.749	1.285	OK
12	4.634	1.656	OK
13	0.895	1.652	OK
14	0.885	1.647	OK
15	0.901	1.647	OK
16	0.885	1.641	OK
17	0.899	1.642	OK
18	2.781	1.645	OK
19	0.887	1.642	OK
20	0.909	1.642	OK
21	0.962	1.464	OK
22	0.903	1.091	OK
23	2.786	1.280	OK
24	0.877	1.279	OK
25	0.908	1.280	OK
26	0.912	1.283	OK
27	0.936	1.286	OK
28	0.925	1.101	OK
29	0.936	1.105	OK
30	2.777	1.292	OK
31	0.888	1.285	OK
32	2.801	1.475	OK
33	0.988	1.295	OK
34	2.777	1.485	OK
35	2.806	1.674	OK
36	0.917	1.675	OK
37	0.959	1.677	OK
38	0.918	1.677	OK
39	0.942	1.677	OK
40	2.823	1.682	OK
41	0.943	1.687	OK
42	2.799	1.687	OK
43	0.924	1.681	OK
44	0.916	1.495	OK
45	2.805	1.495	OK
46	0.940	1.497	OK
47	0.926	1.494	OK
48	2.808	1.683	OK
49	0.918	1.680	OK
50	0.917	1.490	OK
51	2.773	1.673	OK
52	0.951	1.488	OK
53	0.902	1.486	OK
54	0.952	1.489	OK
55	0.983	1.307	OK
56	2.799	1.493	OK
57	0.958	1.496	OK
58	0.909	1.306	OK
59	0.901	1.305	OK
60	0.889	1.302	OK
61	0.972	1.122	OK
62	0.969	1.123	OK
63	0.910	1.124	OK
64	0.896	1.119	OK
65	0.998	1.120	OK
66	1.015	0.942	OK
67	0.920	0.938	OK
68	0.964	0.943	OK
69	0.931	0.946	OK
70	0.938	0.951	OK
71	2.800	1.134	OK
72	2.847	1.322	OK
73	2.798	1.511	OK
74	0.920	1.513	OK
75	0.925	1.506	OK
76	0.892	1.493	OK
77	0.931	1.494	OK
78	0.928	1.491	OK
79	0.941	1.492	OK
80	0.968	1.495	OK
81	1.055	1.321	OK
82	2.778	1.314	OK
83	0.905	1.124	OK
84	2.812	1.314	OK
85	2.769	1.498	OK
86	1.169	1.526	OK
87	0.938	1.526	OK
88	2.950	1.729	OK
89	2.920	1.926	OK
90	0.939	1.923	OK
91	0.937	1.912	OK
92	0.958	1.730	OK
93	0.952	1.734	OK
94	0.999	1.553	OK
95	0.935	1.370	OK
96	3.181	1.571	OK
97	0.960	1.573	OK
98	0.944	1.372	OK
99	0.985	1.179	OK
100	0.943	1.179	OK
101	0.920	1.178	OK
102	0.911	1.173	OK
103	0.926	1.170	OK
104	2.868	1.357	OK
105	0.927	1.356	OK
106	0.923	1.131	OK
107	0.896	1.124	OK
108	0.931	1.123	OK
109	0.935	1.118	OK
110	1.095	1.133	OK
111	0.963	1.137	OK
112	0.898	1.136	OK
113	0.977	1.141	OK
114	0.941	0.949	OK
115	0.932	0.949	OK
116	0.940	0.951	OK
117	0.946	0.956	OK
118	0.969	0.960	OK
119	0.948	0.961	OK
120	0.968	0.948	OK
121	0.945	0.947	OK
122	0.926	0.949	OK
123	0.928	0.944	OK
124	2.804	1.131	OK
125	0.940	1.131	OK
126	0.928	1.130	OK
127	0.910	1.127	OK
128	0.941	1.124	OK
129	0.899	1.119	OK
130	1.263	1.148	OK
131	0.970	1.151	OK
132	2.814	1.340	OK
133	2.786	1.525	OK
134	0.966	1.342	OK
135	1.051	1.353	OK
136	2.819	1.542	OK
137	0.911	1.542	OK
138	2.813	1.729	OK
139	1.065	1.746	OK
140	0.942	1.714	OK
141	0.934	1.710	OK
142	0.928	1.521	OK
143	2.923	1.535	OK
144	0.929	1.531	OK
145	0.964	1.523	OK
146	0.928	1.334	OK
147	0.968	1.339	OK
148	1.029	1.161	OK
149	0.920	1.146	OK
150	0.903	1.143	OK
151	0.926	1.142	OK
152	4.748	1.524	OK
153	0.911	1.323	OK
154	0.992	1.329	OK
155	2.788	1.511	OK
156	0.962	1.515	OK
157	0.946	1.512	OK
158	0.951	1.505	OK
159	1.031	1.516	OK
160	0.986	1.524	OK
161	0.932	1.525	OK
162	0.913	1.141	OK
163	0.902	1.140	OK
164	3.153	1.356	OK
165	2.836	1.361	OK
166	0.968	1.362	OK
167	1.010	1.368	OK
168	0.928	1.366	OK
169	0.946	1.357	OK
170	0.979	1.357	OK
171	2.908	1.554	OK
172	0.905	1.553	OK
