#req	time (sec)	avg. time (sec)	mapping
0	4.075	0.000	OK
1	3.129	0.000	OK
2	2.823	0.000	OK
3	1.963	0.000	OK
4	1.804	0.000	OK
5	1.952	0.000	OK
6	3.346	0.000	OK
7	2.580	0.000	OK
8	3.295	0.000	OK
9	3.029	0.000	OK
10	1.790	2.571	OK
11	1.966	2.455	OK
12	4.361	2.609	OK
13	2.775	2.690	OK
14	2.476	2.757	OK
15	3.341	2.896	OK
16	2.435	2.805	OK
17	2.080	2.755	OK
18	3.037	2.729	OK
19	1.942	2.620	OK
20	2.500	2.691	OK
21	5.312	3.026	OK
22	3.568	2.947	OK
23	2.271	2.896	OK
24	3.413	2.990	OK
25	2.228	2.879	OK
26	2.182	2.853	OK
27	2.083	2.854	OK
28	2.943	2.844	OK
29	1.987	2.849	OK
30	3.583	2.957	OK
31	3.205	2.746	OK
32	4.031	2.793	OK
33	2.077	2.773	OK
34	2.157	2.648	OK
35	3.861	2.811	OK
36	1.818	2.775	OK
37	4.827	3.049	OK
38	2.200	2.975	OK
39	2.347	3.011	OK
40	3.424	2.995	OK
41	3.276	3.002	OK
42	2.335	2.832	OK
43	2.136	2.838	OK
44	2.111	2.834	OK
45	2.610	2.708	OK
46	3.096	2.836	OK
47	2.231	2.577	OK
48	2.221	2.579	OK
49	3.401	2.684	OK
50	3.353	2.677	OK
51	2.662	2.616	OK
52	3.633	2.746	OK
53	3.310	2.863	OK
54	3.555	3.007	OK
55	3.401	3.086	OK
56	3.980	3.175	OK
57	4.158	3.367	OK
58	3.012	3.446	OK
59	3.086	3.415	OK
60	1.760	3.255	OK
61	2.172	3.207	OK
62	2.040	3.047	OK
63	2.899	3.006	OK
64	3.405	2.991	OK
65	1.840	2.835	OK
66	2.963	2.733	OK
67	2.970	2.615	OK
68	4.068	2.720	OK
69	2.734	2.685	OK
70	3.304	2.839	OK
71	2.670	2.889	OK
72	4.431	3.128	OK
73	3.319	3.170	OK
74	3.259	3.156	OK
75	3.055	3.277	OK
76	2.082	3.189	OK
77	3.356	3.228	OK
78	3.458	3.167	OK
79	3.613	3.255	OK
80	3.224	3.247	OK
81	4.454	3.425	OK
82	2.016	3.184	OK
83	3.620	3.214	OK
84	4.127	3.301	OK
85	2.779	3.273	OK
86	7.846	3.849	OK
87	3.772	3.891	OK
88	4.363	3.981	OK
89	4.147	4.035	OK
90	3.477	4.060	OK
91	2.271	3.842	OK
92	2.811	3.921	OK
93	3.254	3.885	OK
94	3.746	3.847	OK
95	2.561	3.825	OK
96	10.481	4.088	OK
97	3.603	4.071	OK
98	3.550	3.990	OK
99	3.538	3.929	OK
100	2.082	3.790	OK
101	2.285	3.791	OK
102	3.097	3.820	OK
103	2.666	3.761	OK
104	4.115	3.798	OK
105	1.993	3.741	OK
106	3.156	3.009	OK
107	3.207	2.969	OK
108	2.577	2.872	OK
109	3.208	2.839	OK
110	5.687	3.199	OK
111	2.689	3.240	OK
112	1.908	3.121	OK
113	4.613	3.315	OK
114	1.832	3.087	OK
115	1.936	3.081	OK
116	3.550	3.121	OK
117	3.585	3.159	OK
118	3.269	3.228	OK
119	2.604	3.167	OK
120	3.711	2.970	OK
121	2.170	2.918	OK
122	2.187	2.946	OK
123	3.055	2.790	OK
124	2.999	2.907	OK
125	3.545	3.068	OK
126	3.265	3.039	OK
127	1.843	2.865	OK
128	4.616	2.999	OK
129	3.513	3.090	OK
130	7.777	3.497	OK
131	4.377	3.718	OK
132	3.500	3.849	OK
133	3.430	3.886	OK
134	3.567	3.943	OK
135	5.065	4.095	OK
136	2.026	3.971	OK
137	3.411	4.128	OK
138	1.925	3.859	OK
139	2.999	3.808	OK
140	3.382	3.368	OK
141	2.033	3.134	OK
142	4.410	3.225	OK
143	4.861	3.368	OK
144	3.487	3.360	OK
145	2.193	3.073	OK
146	1.874	3.057	OK
147	3.971	3.113	OK
148	3.659	3.287	OK
149	2.564	3.243	OK
150	2.017	3.107	OK
151	2.027	3.106	OK
152	5.482	3.213	OK
153	3.002	3.028	OK
154	2.943	2.973	OK
155	2.536	3.008	OK
156	3.606	3.181	OK
157	3.017	3.085	OK
158	2.760	2.995	OK
159	7.883	3.527	OK
160	3.566	3.682	OK
161	3.334	3.813	OK
162	2.320	3.497	OK
163	2.332	3.430	OK
164	6.220	3.757	OK
165	2.002	3.704	OK
166	3.778	3.721	OK
167	2.752	3.695	OK
168	2.960	3.715	OK
169	3.329	3.259	OK
170	4.341	3.337	OK
171	4.755	3.479	OK
172	1.969	3.444	OK
173	2.169	3.427	OK
174	6.795	3.485	OK
175	2.891	3.574	OK
176	3.398	3.536	OK
177	3.499	3.611	OK
178	1.939	3.508	OK
179	3.146	3.490	OK
180	3.554	3.411	OK
181	3.295	3.265	OK
182	3.816	3.450	OK
183	3.094	3.543	OK
184	1.866	3.050	OK
185	4.020	3.163	OK
186	2.012	3.024	OK
187	2.080	2.882	OK
188	2.187	2.907	OK
189	2.848	2.877	OK
190	2.843	2.806	OK
191	2.721	2.749	OK
192	2.029	2.570	OK
193	2.831	2.544	OK
194	3.048	2.662	OK
195	3.781	2.638	OK
196	2.227	2.659	OK
197	2.159	2.667	OK
198	4.801	2.929	OK
199	3.629	3.007	OK
200	7.651	3.488	OK
201	3.376	3.553	OK
202	4.094	3.760	OK
203	4.174	3.894	OK
204	2.848	3.874	OK
205	4.496	3.946	OK
206	3.278	4.051	OK
207	3.310	4.166	OK
208	3.160	4.002	OK
209	2.649	3.904	OK
210	2.321	3.371	OK
211	2.582	3.291	OK
212	7.910	3.673	OK
213	4.890	3.744	OK
214	3.118	3.771	OK
215	3.145	3.636	OK
216	3.567	3.665	OK
217	1.870	3.521	OK
218	3.464	3.552	OK
219	1.915	3.478	OK
220	4.537	3.700	OK
221	7.671	4.209	OK
222	3.879	3.806	OK
223	6.898	4.006	OK
224	2.690	3.964	OK
225	3.475	3.997	OK
226	4.992	4.139	OK
227	4.361	4.388	OK
228	5.362	4.578	OK
229	4.185	4.805	OK
230	11.038	5.455	OK
231	4.161	5.104	OK
232	4.209	5.137	OK
233	2.105	4.658	OK
234	2.543	4.643	OK
235	2.791	4.575	OK
236	1.985	4.274	OK
237	2.280	4.066	OK
238	3.500	3.880	OK
239	3.948	3.856	OK
240	2.201	2.972	OK
241	1.846	2.741	OK
242	5.961	2.916	OK
243	2.173	2.923	OK
244	4.196	3.088	OK
245	2.207	3.030	OK
246	4.832	3.314	OK
247	2.225	3.309	OK
248	3.593	3.318	OK
249	2.362	3.159	OK
250	3.420	3.281	OK
251	3.655	3.462	OK
252	4.182	3.284	OK
253	3.339	3.401	OK
254	4.007	3.382	OK
255	4.763	3.638	OK
256	3.279	3.483	OK
257	4.307	3.691	OK
258	4.839	3.815	OK
259	4.882	4.067	OK
260	2.141	3.939	OK
261	3.170	3.891	OK
262	2.195	3.692	OK
263	3.528	3.711	OK
264	2.639	3.574	OK
265	2.305	3.329	OK
266	2.568	3.257	OK
267	3.548	3.181	OK
268	2.166	2.914	OK
269	1.787	2.605	OK
270	4.356	2.826	OK
271	3.204	2.830	OK
272	5.103	3.120	OK
273	2.173	2.985	OK
274	4.597	3.181	OK
275	3.591	3.309	OK
276	5.017	3.554	OK
277	9.797	4.179	OK
278	7.806	4.743	OK
279	2.957	4.860	OK
280	10.529	5.477	OK
281	1.960	5.353	OK
282	4.551	5.298	OK
283	2.690	5.349	OK
284	3.863	5.276	OK
285	9.790	5.896	OK
286	1.967	5.591	OK
287	5.328	5.144	OK
288	4.765	4.840	OK
289	7.870	5.331	OK
290	4.693	4.748	OK
291	2.159	4.768	OK
292	2.260	4.538	OK
293	2.614	4.531	OK
294	2.306	4.375	OK
295	4.937	3.890	OK
296	8.009	4.494	OK
297	12.744	5.236	OK
298	3.210	5.080	OK
299	2.316	4.525	OK
300	10.803	5.136	OK
