#req	time (sec)	avg. time (sec)	mapping
0	0.723	0.000	ERR
1	0.568	0.000	ERR
2	0.865	0.000	ERR
3	0.582	0.000	ERR
4	0.596	0.000	ERR
5	0.565	0.000	ERR
6	0.311	0.000	ERR
7	0.879	0.000	ERR
8	0.417	0.000	ERR
9	0.902	0.000	ERR
10	0.732	0.642	ERR
11	0.420	0.627	ERR
12	0.891	0.629	ERR
13	0.852	0.656	OK
14	0.882	0.685	OK
15	0.597	0.688	ERR
16	0.852	0.742	ERR
17	0.728	0.727	ERR
18	0.423	0.728	ERR
19	0.449	0.683	ERR
20	0.590	0.669	ERR
21	0.882	0.715	ERR
22	0.443	0.670	ERR
23	0.583	0.643	ERR
24	0.298	0.585	ERR
25	0.902	0.615	ERR
26	0.453	0.575	ERR
27	0.585	0.561	ERR
28	0.760	0.595	ERR
29	0.455	0.595	ERR
30	0.868	0.623	ERR
31	0.873	0.622	OK
32	0.461	0.624	ERR
33	0.864	0.652	OK
34	0.606	0.683	ERR
35	0.569	0.649	ERR
36	0.872	0.691	OK
37	0.322	0.665	ERR
38	0.844	0.673	OK
39	0.574	0.685	ERR
40	0.893	0.688	ERR
41	0.454	0.646	ERR
42	0.573	0.657	ERR
43	0.571	0.628	ERR
44	0.555	0.623	ERR
45	0.867	0.652	ERR
46	0.304	0.596	ERR
47	0.587	0.622	ERR
48	0.579	0.596	ERR
49	0.880	0.626	ERR
50	0.881	0.625	ERR
51	0.872	0.667	ERR
52	0.744	0.684	ERR
53	0.588	0.686	ERR
54	0.423	0.673	ERR
55	0.439	0.630	ERR
56	0.771	0.676	ERR
57	0.711	0.689	ERR
58	0.904	0.721	ERR
59	0.858	0.719	OK
60	0.862	0.717	OK
61	0.586	0.689	ERR
62	0.718	0.686	ERR
63	0.859	0.713	OK
64	0.880	0.759	OK
65	0.889	0.804	ERR
66	0.894	0.816	OK
67	0.422	0.787	ERR
68	0.575	0.754	ERR
69	0.425	0.711	ERR
70	0.623	0.687	ERR
71	0.302	0.659	ERR
72	0.568	0.644	ERR
73	0.423	0.600	ERR
74	0.869	0.599	ERR
75	0.423	0.552	ERR
76	0.301	0.493	ERR
77	0.569	0.508	ERR
78	0.875	0.538	ERR
79	0.474	0.543	ERR
80	0.615	0.542	ERR
81	0.881	0.600	ERR
82	0.468	0.590	ERR
83	0.568	0.604	ERR
84	0.434	0.561	ERR
85	0.881	0.607	ERR
86	0.456	0.622	ERR
87	0.622	0.627	ERR
88	0.739	0.614	ERR
89	0.890	0.655	ERR
90	0.411	0.635	ERR
91	0.749	0.622	ERR
92	0.319	0.607	ERR
93	0.425	0.593	ERR
94	0.744	0.624	ERR
95	0.887	0.624	ERR
96	0.432	0.622	ERR
97	0.458	0.605	ERR
98	0.421	0.574	ERR
99	0.713	0.556	ERR
100	0.731	0.588	ERR
101	0.585	0.572	ERR
102	0.884	0.628	OK
103	0.303	0.616	ERR
104	0.304	0.572	ERR
105	0.884	0.572	OK
106	0.425	0.571	ERR
107	0.880	0.613	ERR
108	0.738	0.645	ERR
109	0.568	0.630	ERR
110	0.715	0.628	ERR
111	0.315	0.602	ERR
112	0.767	0.590	ERR
113	0.889	0.648	ERR
114	0.866	0.705	OK
115	0.425	0.659	ERR
116	0.574	0.674	ERR
117	0.873	0.673	OK
118	0.745	0.674	ERR
119	0.570	0.674	ERR
120	0.316	0.634	ERR
121	0.884	0.691	OK
122	0.442	0.659	ERR
123	0.577	0.627	ERR
124	0.756	0.616	ERR
125	0.425	0.616	ERR
126	0.885	0.647	OK
127	0.302	0.590	ERR
128	0.876	0.603	ERR
129	0.843	0.631	ERR
130	0.768	0.676	ERR
131	0.579	0.645	ERR
132	0.446	0.646	ERR
133	0.596	0.648	ERR
134	0.424	0.614	ERR
135	0.422	0.614	ERR
136	0.600	0.585	ERR
137	0.711	0.626	ERR
138	0.446	0.583	ERR
139	0.905	0.590	ERR
140	0.453	0.558	ERR
141	0.429	0.543	ERR
142	0.460	0.545	ERR
143	0.730	0.558	ERR
144	0.722	0.588	ERR
145	0.897	0.635	OK
146	0.735	0.649	ERR
147	0.577	0.635	ERR
148	0.143	0.605	ERR
149	0.314	0.546	ERR
150	0.740	0.575	ERR
151	0.581	0.590	ERR
152	0.428	0.587	ERR
153	0.911	0.605	ERR
154	0.599	0.593	ERR
155	0.917	0.595	ERR
156	0.303	0.551	ERR
157	0.575	0.551	ERR
158	0.303	0.567	ERR
159	0.713	0.607	ERR
160	0.574	0.590	ERR
161	0.445	0.577	ERR
162	0.871	0.621	OK
163	0.425	0.572	ERR
164	0.302	0.543	ERR
165	0.587	0.510	ERR
166	0.447	0.524	ERR
167	0.431	0.510	ERR
168	0.411	0.521	ERR
169	0.425	0.492	ERR
170	0.751	0.509	ERR
171	0.929	0.558	ERR
172	0.860	0.557	OK
173	0.611	0.575	ERR
174	0.894	0.635	ERR
175	0.457	0.622	ERR
176	0.895	0.666	ERR
177	0.573	0.681	ERR
178	0.575	0.697	ERR
179	0.453	0.700	ERR
180	0.759	0.701	ERR
181	0.748	0.683	ERR
182	0.899	0.687	ERR
183	0.742	0.700	ERR
184	0.581	0.668	ERR
185	0.317	0.654	ERR
186	0.609	0.626	ERR
