#req	time (sec)	avg. time (sec)	mapping
0	16.023	0.000	OK
1	14.110	0.000	OK
2	13.537	0.000	OK
3	11.796	0.000	OK
4	13.725	0.000	OK
5	11.551	0.000	OK
6	21.247	0.000	OK
7	11.455	0.000	OK
8	21.376	0.000	OK
9	11.038	0.000	OK
10	17.483	14.732	OK
11	12.803	14.601	OK
12	16.225	14.870	OK
13	12.665	14.957	OK
14	19.326	15.517	OK
15	15.217	15.883	OK
16	18.351	15.594	OK
17	11.998	15.648	OK
18	16.498	15.160	OK
19	14.432	15.500	OK
20	15.213	15.273	OK
21	14.743	15.467	OK
22	14.073	15.252	OK
23	19.565	15.942	OK
24	15.270	15.536	OK
25	11.612	15.175	OK
26	12.540	14.594	OK
27	17.219	15.116	OK
28	15.235	14.990	OK
29	12.895	14.836	OK
30	17.834	15.098	OK
31	12.027	14.827	OK
32	21.764	15.596	OK
33	17.068	15.346	OK
34	14.461	15.265	OK
35	15.791	15.683	OK
36	9.843	15.413	OK
37	16.362	15.328	OK
38	11.024	14.907	OK
39	14.476	15.065	OK
40	21.596	15.441	OK
41	13.479	15.586	OK
42	17.220	15.132	OK
43	9.780	14.403	OK
44	14.402	14.397	OK
45	18.030	14.621	OK
46	16.390	15.276	OK
47	11.623	14.802	OK
48	12.850	14.985	OK
49	15.282	15.065	OK
50	13.627	14.268	OK
51	17.754	14.696	OK
52	16.180	14.592	OK
53	19.380	15.552	OK
54	13.658	15.477	OK
55	27.787	16.453	OK
56	16.581	16.472	OK
57	17.974	17.107	OK
58	11.502	16.972	OK
59	11.553	16.600	OK
60	13.970	16.634	OK
61	13.402	16.199	OK
62	23.601	16.941	OK
63	15.326	16.535	OK
64	16.507	16.820	OK
65	19.039	15.945	OK
66	19.541	16.241	OK
67	18.171	16.261	OK
68	21.429	17.254	OK
69	15.428	17.641	OK
70	21.794	18.424	OK
71	18.029	18.887	OK
72	16.070	18.133	OK
73	14.139	18.015	OK
74	14.073	17.771	OK
75	12.449	17.112	OK
76	14.655	16.624	OK
77	12.933	16.100	OK
78	11.693	15.126	OK
MEJORA: 22 better than: 20
MEJORA: 20 better than: 16
79	14.674	15.051	OK
80	17.745	14.646	OK
81	19.317	14.775	OK
82	12.856	14.453	OK
MEJORA: 22 better than: 20
MEJORA: 20 better than: 16
83	16.666	14.706	OK
84	24.275	15.726	OK
85	15.396	16.021	OK
86	30.688	17.624	OK
87	16.588	17.990	OK
88	17.467	18.567	OK
89	21.594	19.259	OK
90	21.525	19.637	OK
91	14.064	19.112	OK
92	15.386	19.365	OK
93	12.977	18.996	OK
94	15.403	18.109	OK
95	20.511	18.620	OK
MEJORA: 21 better than: 19
96	42.512	19.803	OK
97	15.391	19.683	OK
98	17.036	19.640	OK
99	16.216	19.102	OK
100	12.636	18.213	OK
101	17.457	18.552	OK
102	11.561	18.170	OK
103	11.496	18.022	OK
104	21.652	18.647	OK
105	13.952	17.991	OK
106	14.033	15.143	OK
107	12.725	14.876	OK
108	19.517	15.124	OK
109	14.591	14.962	OK
110	18.581	15.556	OK
111	17.678	15.578	OK
112	10.808	15.503	OK
113	23.658	16.719	OK
114	9.779	15.532	OK
115	10.862	15.223	OK
116	18.106	15.630	OK
117	12.930	15.651	OK
118	13.678	15.067	OK
119	16.798	15.288	OK
120	16.784	15.108	OK
121	14.608	14.801	OK
122	11.079	14.828	OK
123	18.083	14.271	OK
124	21.592	15.452	OK
125	16.987	16.065	OK
126	14.055	15.659	OK
127	16.418	16.008	OK
128	19.853	16.626	OK
129	16.083	16.554	OK
MEJORA: 25 better than: 24
MEJORA: 24 better than: 21
130	33.225	18.198	OK
131	17.565	18.494	OK
132	17.748	19.161	OK
133	21.020	19.455	OK
134	17.601	19.055	OK
MEJORA: 29 better than: 27
MEJORA: 27 better than: 25
135	26.216	19.978	OK
136	12.581	19.831	OK
