#req	time (sec)	avg. time (sec)	mapping
0	4.108	0.000	OK
1	11.155	0.000	OK
2	11.201	0.000	OK
3	14.741	0.000	OK
4	14.761	0.000	OK
5	5.839	0.000	OK
6	6.038	0.000	OK
7	3.878	0.000	OK
8	5.882	0.000	OK
9	11.109	0.000	OK
10	5.834	9.044	OK
11	9.419	8.870	OK
12	11.332	8.883	OK
13	3.980	7.807	OK
14	5.749	6.906	OK
15	7.518	7.074	OK
16	7.581	7.228	OK
MEJORA: 20 better than: 18
17	3.957	7.236	OK
18	7.655	7.413	OK
19	2.099	6.512	OK
20	12.847	7.214	OK
21	4.148	6.687	OK
22	2.185	5.772	OK
23	5.885	5.963	OK
24	2.201	5.608	OK
25	11.082	5.964	OK
26	11.111	6.317	OK
27	11.206	7.042	OK
28	12.905	7.567	OK
29	11.212	8.478	OK
30	7.693	7.963	OK
31	2.178	7.766	OK
32	14.878	9.035	OK
33	2.413	8.688	OK
MEJORA: 18 better than: 16
34	7.664	9.234	OK
35	14.933	9.619	OK
36	12.959	9.804	OK
37	16.840	10.368	OK
38	7.506	9.828	OK
39	11.268	9.833	OK
40	7.794	9.843	OK
41	4.075	10.033	OK
MEJORA: 18 better than: 16
42	7.736	9.319	OK
43	12.960	10.373	OK
44	11.123	10.719	OK
45	9.483	10.174	OK
46	7.663	9.645	OK
47	7.613	8.722	OK
48	5.895	8.561	OK
49	4.011	7.835	OK
50	9.351	7.991	OK
51	4.012	7.985	OK
52	4.183	7.629	OK
53	2.233	6.557	OK
54	14.813	6.926	OK
55	4.314	6.409	OK
56	14.884	7.131	OK
57	11.384	7.508	OK
58	3.922	7.311	OK
59	5.773	7.487	OK
60	2.183	6.770	OK
61	4.197	6.789	OK
62	2.445	6.615	OK
63	9.379	7.330	OK
64	3.978	6.246	OK
65	6.127	6.427	OK
MEJORA: 24 better than: 22
66	5.998	5.539	OK
67	11.251	5.525	OK
68	6.074	5.741	OK
69	4.070	5.570	OK
70	9.630	6.315	OK
71	5.907	6.486	OK
72	9.624	7.204	OK
73	5.890	6.855	OK
74	2.221	6.679	OK
75	11.281	7.194	OK
76	3.979	6.993	OK
77	9.372	6.805	OK
78	5.788	6.776	OK
79	4.181	6.787	OK
MEJORA: 22 better than: 20
80	5.903	6.414	OK
MEJORA: 22 better than: 18
81	8.155	6.639	OK
82	5.910	6.268	OK
83	2.264	5.905	OK
84	7.933	6.476	OK
85	5.910	5.939	OK
MEJORA: 27 better than: 25
86	3.977	5.939	OK
87	4.225	5.425	OK
88	9.846	5.830	OK
89	9.697	6.382	OK
90	4.037	6.195	OK
91	5.797	5.960	OK
92	4.072	5.776	OK
93	7.576	6.307	OK
94	2.463	5.760	OK
95	4.093	5.579	OK
96	13.020	6.483	OK
97	14.893	7.550	OK
98	2.339	6.799	OK
99	11.396	6.969	OK
100	7.629	7.328	OK
101	4.045	7.153	OK
102	5.759	7.322	OK
103	4.022	6.966	OK
104	6.040	7.324	OK
MEJORA: 20 better than: 18
105	3.989	7.313	OK
MEJORA: 14 better than: 12
106	4.047	6.416	OK
107	3.906	5.317	OK
108	5.878	5.671	OK
109	2.351	4.767	OK
MEJORA: 24 better than: 20
110	8.060	4.810	OK
MEJORA: 24 better than: 22
MEJORA: 22 better than: 20
111	4.039	4.809	OK
112	2.148	4.448	OK
113	6.049	4.651	OK
114	12.946	5.341	OK
115	11.182	6.061	OK
116	4.142	6.070	OK
117	11.235	6.803	OK
118	9.526	7.168	OK
119	9.400	7.873	OK
120	11.425	8.209	OK
MEJORA: 24 better than: 22
121	2.365	8.042	OK
122	4.012	8.228	OK
123	11.303	8.753	OK
124	5.914	8.050	OK
125	4.175	7.350	OK
126	9.388	7.874	OK
127	9.413	7.692	OK
128	16.652	8.405	OK
129	7.571	8.222	OK
130	5.843	7.664	OK
131	9.610	8.388	OK
132	14.974	9.484	OK
133	5.990	8.953	OK
134	9.652	9.327	OK
135	6.929	9.602	OK
136	5.966	9.260	OK
137	2.231	8.542	OK
MEJORA: 18 better than: 16
138	7.751	7.652	OK
139	7.990	7.694	OK
140	18.388	8.948	OK
141	4.207	8.408	OK
142	2.290	7.139	OK
143	6.291	7.170	OK
144	7.612	6.966	OK
145	5.978	6.871	OK
146	11.189	7.393	OK
147	7.832	7.953	OK
MEJORA: 30 better than: 28
MEJORA: 28 better than: 26
148	8.017	7.980	OK
149	4.002	7.581	OK
150	5.742	6.316	OK
151	5.908	6.486	OK
152	8.116	7.069	OK
153	2.231	6.663	OK
154	2.434	6.145	OK
155	16.711	7.218	OK
156	14.896	7.589	OK
157	7.736	7.579	OK
158	11.294	7.907	OK
MEJORA: 27 better than: 25
159	6.493	8.156	OK
160	11.435	8.725	OK
161	4.113	8.546	OK
162	2.213	7.956	OK
163	2.135	7.946	OK
164	6.421	8.345	OK
165	9.505	7.624	OK
166	9.576	7.092	OK
MEJORA: 30 better than: 26
167	4.297	6.748	OK
168	3.940	6.013	OK
169	4.009	5.764	OK
170	9.456	5.566	OK
171	7.844	5.939	OK
172	5.780	6.296	OK
MEJORA: 16 better than: 14
173	3.984	6.481	OK
MEJORA: 31 better than: 29
174	5.034	6.342	OK
175	5.972	5.989	OK
176	11.250	6.156	OK
177	6.055	6.332	OK
178	7.636	6.702	OK
MEJORA: 16 better than: 14
179	4.155	6.717	OK
180	4.075	6.178	OK
181	4.112	5.805	OK
182	16.688	6.896	OK
183	7.719	7.270	OK
184	2.393	7.006	OK
185	4.412	6.850	OK
186	3.969	6.122	OK
187	7.592	6.275	OK
188	4.189	5.931	OK
189	7.761	6.291	OK
190	7.846	6.668	OK
191	11.314	7.388	OK
192	5.938	6.313	OK
193	9.419	6.483	OK
194	7.660	7.010	OK
195	2.257	6.794	OK
