#req	time (sec)	avg. time (sec)	mapping
0	25.866	0.000	OK
1	21.343	0.000	OK
2	19.509	0.000	OK
3	17.479	0.000	OK
4	14.898	0.000	OK
5	15.767	0.000	OK
6	19.421	0.000	OK
7	14.661	0.000	OK
8	24.303	0.000	OK
9	18.902	0.000	OK
10	13.809	18.009	OK
11	16.557	17.531	OK
12	28.562	18.436	OK
13	17.637	18.452	OK
14	14.740	18.436	OK
15	20.250	18.884	OK
16	13.925	18.335	OK
17	15.398	18.408	OK
18	20.897	18.068	OK
19	13.824	17.560	OK
20	14.407	17.620	OK
21	23.040	18.268	OK
22	23.577	17.770	OK
23	22.137	18.220	OK
24	21.627	18.908	OK
25	19.431	18.826	OK
26	18.791	19.313	OK
27	17.374	19.510	OK
28	17.901	19.211	OK
29	16.495	19.478	OK
30	21.789	20.216	OK
31	19.900	19.902	OK
32	24.980	20.042	OK
33	17.929	19.622	OK
34	20.256	19.485	OK
35	23.840	19.926	OK
36	13.557	19.402	OK
37	31.144	20.779	OK
38	19.224	20.911	OK
39	21.348	21.397	OK
40	24.455	21.663	OK
41	20.766	21.750	OK
42	23.069	21.559	OK
43	18.047	21.571	OK
44	18.036	21.349	OK
45	16.962	20.661	OK
46	20.441	21.349	OK
47	18.228	20.058	OK
48	20.769	20.212	OK
49	20.098	20.087	OK
50	23.559	19.998	OK
51	16.956	19.616	OK
52	21.196	19.429	OK
53	21.408	19.765	OK
54	25.837	20.545	OK
55	21.468	20.996	OK
56	24.301	21.382	OK
57	24.529	22.012	OK
58	17.668	21.702	OK
59	18.473	21.539	OK
60	12.867	20.470	OK
61	21.145	20.889	OK
62	17.497	20.519	OK
63	16.523	20.031	OK
64	22.762	19.723	OK
65	17.331	19.309	OK
66	19.262	18.806	OK
67	19.699	18.323	OK
68	24.162	18.972	OK
69	16.889	18.814	OK
70	16.580	19.185	OK
71	16.943	18.765	OK
72	26.521	19.667	OK
73	23.000	20.315	OK
74	20.390	20.078	OK
75	20.294	20.374	OK
76	16.802	20.128	OK
