#req	time (sec)	avg. time (sec)	mapping
0	0.716	0.000	ERR
1	0.864	0.000	ERR
2	0.292	0.000	ERR
3	0.406	0.000	ERR
4	0.557	0.000	ERR
5	0.582	0.000	ERR
6	0.547	0.000	ERR
7	0.834	0.000	ERR
8	0.290	0.000	ERR
9	1.769	0.000	OK
10	0.554	0.669	ERR
11	0.557	0.639	ERR
12	0.407	0.650	ERR
13	0.288	0.638	ERR
14	0.404	0.623	ERR
15	0.545	0.620	ERR
16	1.758	0.741	OK
17	1.766	0.834	OK
18	0.724	0.877	ERR
19	0.430	0.743	ERR
20	0.548	0.743	ERR
21	0.596	0.747	ERR
22	0.557	0.762	ERR
23	0.574	0.790	ERR
24	0.563	0.806	ERR
25	0.405	0.792	ERR
26	0.716	0.688	ERR
27	0.406	0.552	ERR
28	1.744	0.654	OK
29	0.568	0.668	ERR
30	0.689	0.682	ERR
31	1.821	0.804	OK
32	0.699	0.818	ERR
33	0.547	0.816	ERR
34	0.287	0.788	ERR
35	0.549	0.803	ERR
36	0.408	0.772	ERR
37	0.702	0.801	ERR
38	0.821	0.709	ERR
39	0.567	0.709	ERR
40	0.733	0.713	ERR
41	0.459	0.577	ERR
42	0.459	0.553	ERR
43	1.777	0.676	OK
44	0.563	0.704	ERR
45	0.850	0.734	ERR
46	0.406	0.734	ERR
47	0.302	0.694	ERR
48	0.575	0.669	ERR
49	0.868	0.699	ERR
50	0.542	0.680	ERR
51	0.288	0.663	ERR
52	0.551	0.672	ERR
53	0.832	0.578	ERR
54	0.544	0.576	ERR
55	0.288	0.520	ERR
56	0.705	0.549	ERR
57	0.428	0.562	ERR
58	0.693	0.574	ERR
59	0.425	0.530	ERR
60	0.549	0.530	ERR
61	0.287	0.530	ERR
62	0.577	0.533	ERR
63	0.402	0.490	ERR
64	0.549	0.490	ERR
65	0.407	0.502	ERR
66	0.408	0.472	ERR
67	0.311	0.461	ERR
68	0.702	0.462	ERR
69	0.740	0.493	ERR
70	0.427	0.481	ERR
71	0.409	0.493	ERR
72	0.849	0.520	ERR
73	0.714	0.552	ERR
74	0.566	0.553	ERR
75	0.906	0.603	ERR
76	0.442	0.607	ERR
77	1.856	0.761	OK
78	0.300	0.721	ERR
79	0.442	0.691	ERR
80	0.420	0.690	ERR
81	0.310	0.681	ERR
82	0.299	0.626	ERR
83	0.741	0.628	ERR
84	0.579	0.629	ERR
85	0.733	0.612	ERR
86	0.739	0.642	ERR
87	0.700	0.526	ERR
88	0.717	0.568	ERR
89	0.413	0.565	ERR
90	0.725	0.596	ERR
91	0.742	0.639	ERR
92	0.721	0.681	ERR
93	1.875	0.794	OK
94	0.588	0.795	ERR
95	0.872	0.809	ERR
96	0.871	0.822	ERR
97	0.579	0.810	ERR
98	0.752	0.814	ERR
99	0.298	0.802	ERR
100	1.855	0.915	OK
101	0.574	0.899	ERR
102	0.731	0.900	ERR
103	0.454	0.758	ERR
104	0.425	0.741	ERR
105	0.692	0.723	ERR
106	0.705	0.707	ERR
107	1.839	0.833	OK
108	0.422	0.800	ERR
109	0.289	0.799	ERR
110	0.722	0.685	ERR
111	0.451	0.673	ERR
112	1.748	0.775	OK
113	0.408	0.770	ERR
114	0.703	0.798	ERR
115	0.595	0.788	ERR
116	0.551	0.773	ERR
117	0.292	0.618	ERR
118	0.574	0.633	ERR
119	0.548	0.659	ERR
120	0.720	0.659	ERR
121	0.452	0.659	ERR
122	0.592	0.543	ERR
123	0.469	0.550	ERR
124	0.869	0.566	ERR
125	0.444	0.551	ERR
126	0.915	0.588	ERR
127	1.798	0.738	OK
128	0.875	0.768	ERR
129	0.875	0.801	ERR
130	1.889	0.918	OK
131	0.736	0.946	ERR
132	0.753	0.962	ERR
133	0.434	0.959	ERR
134	0.867	0.959	ERR
135	1.793	1.094	OK
136	0.575	1.060	ERR
137	0.399	0.920	ERR
138	0.409	0.873	ERR
139	0.569	0.843	ERR
140	0.871	0.741	ERR
141	0.435	0.711	ERR
142	0.702	0.706	ERR
143	0.709	0.733	ERR
144	0.293	0.676	ERR
145	0.414	0.538	ERR
146	0.706	0.551	ERR
147	0.293	0.540	ERR
148	0.409	0.540	ERR
149	0.562	0.539	ERR
150	0.556	0.508	ERR
151	0.294	0.494	ERR
152	0.439	0.468	ERR
153	0.717	0.468	ERR
154	0.701	0.509	ERR
155	0.292	0.497	ERR
156	0.450	0.471	ERR
157	0.737	0.516	ERR
158	0.856	0.561	ERR
159	0.276	0.532	ERR
160	0.415	0.518	ERR
161	0.718	0.560	ERR
162	0.291	0.545	ERR
163	0.408	0.515	ERR
164	0.271	0.472	ERR
165	0.293	0.472	ERR
166	0.559	0.482	ERR
167	0.736	0.482	ERR
168	0.287	0.425	ERR
169	0.579	0.456	ERR
170	0.568	0.471	ERR
171	0.407	0.440	ERR
172	0.553	0.466	ERR
173	0.598	0.485	ERR
174	0.579	0.516	ERR
175	0.581	0.545	ERR
176	0.441	0.533	ERR
177	0.571	0.516	ERR
178	0.306	0.518	ERR
179	0.859	0.546	ERR
180	0.567	0.546	ERR
181	0.694	0.575	ERR
182	0.405	0.560	ERR
183	0.291	0.530	ERR
184	0.568	0.528	ERR
185	0.293	0.500	ERR
186	0.292	0.485	ERR
187	1.826	0.610	OK
188	0.580	0.637	ERR
189	0.291	0.581	ERR
190	0.290	0.553	ERR
191	0.709	0.554	ERR
192	0.575	0.571	ERR
193	0.721	0.614	ERR
194	1.826	0.740	OK
195	0.588	0.770	ERR
196	0.568	0.797	ERR
197	0.420	0.657	ERR
198	0.568	0.656	ERR
199	0.874	0.714	ERR
200	0.453	0.730	ERR
201	0.412	0.701	ERR
202	0.408	0.684	ERR
203	0.730	0.685	ERR
204	0.686	0.571	ERR
205	0.841	0.596	ERR
206	0.279	0.567	ERR
207	0.409	0.566	ERR
208	1.830	0.692	OK
209	0.871	0.692	ERR
210	0.407	0.687	ERR
211	0.421	0.688	ERR
212	0.151	0.663	ERR
213	0.716	0.661	ERR
214	0.584	0.651	ERR
215	0.601	0.627	ERR
216	0.615	0.660	ERR
217	0.576	0.677	ERR
218	0.310	0.525	ERR
219	0.464	0.484	ERR
220	0.875	0.531	ERR
221	0.300	0.519	ERR
222	0.464	0.550	ERR
223	0.427	0.521	ERR
224	0.866	0.550	ERR
225	0.849	0.575	ERR
226	1.840	0.697	OK
227	0.272	0.667	ERR
228	0.291	0.665	ERR
229	0.556	0.674	ERR
230	0.554	0.642	ERR
231	0.439	0.656	ERR
232	0.544	0.664	ERR
233	0.552	0.676	ERR
234	0.694	0.659	ERR
235	0.837	0.658	ERR
236	0.711	0.545	ERR
237	0.612	0.579	ERR
238	0.702	0.620	ERR
239	0.859	0.650	ERR
240	0.586	0.654	ERR
241	0.427	0.652	ERR
242	1.856	0.784	OK
243	0.584	0.787	ERR
244	0.420	0.759	ERR
245	0.300	0.706	ERR
246	0.870	0.722	ERR
247	0.838	0.744	ERR
248	0.714	0.746	ERR
249	0.576	0.717	ERR
250	1.853	0.844	OK
251	0.397	0.841	ERR
252	0.588	0.714	ERR
253	0.697	0.725	ERR
254	0.291	0.712	ERR
255	0.855	0.768	ERR
256	0.862	0.767	ERR
257	0.887	0.772	ERR
258	0.733	0.774	ERR
259	0.300	0.746	ERR
260	0.300	0.591	ERR
261	0.750	0.626	ERR
262	1.864	0.754	OK
263	0.585	0.743	ERR
264	0.419	0.756	ERR
265	0.597	0.730	ERR
266	0.450	0.689	ERR
267	0.604	0.660	ERR
268	1.815	0.768	OK
269	0.681	0.806	ERR
270	0.892	0.866	ERR
271	1.840	0.975	OK
272	0.423	0.831	ERR
273	0.584	0.830	ERR
274	0.287	0.817	ERR
275	0.854	0.843	ERR
276	0.729	0.871	ERR
277	0.548	0.865	ERR
278	0.683	0.752	ERR
279	0.899	0.774	ERR
280	0.706	0.755	ERR
281	0.575	0.629	ERR
282	0.706	0.657	ERR
283	0.435	0.642	ERR
284	0.609	0.674	ERR
285	0.873	0.676	ERR
286	0.456	0.649	ERR
287	0.441	0.638	ERR
288	0.867	0.657	ERR
289	0.874	0.654	ERR
290	0.599	0.643	ERR
291	0.735	0.659	ERR
292	0.583	0.647	ERR
293	0.746	0.678	ERR
294	0.601	0.677	ERR
295	0.616	0.652	ERR
296	0.845	0.691	ERR
297	0.567	0.703	ERR
298	0.886	0.705	ERR
299	0.606	0.678	ERR
300	0.443	0.663	ERR
301	0.560	0.645	ERR
302	0.570	0.644	ERR
303	0.421	0.612	ERR
304	0.418	0.593	ERR
305	0.730	0.605	ERR
306	0.425	0.563	ERR
307	0.567	0.563	ERR
308	0.570	0.531	ERR
309	0.420	0.513	ERR
310	0.464	0.515	ERR
311	0.429	0.501	ERR
312	0.563	0.501	ERR
313	0.726	0.531	ERR
314	0.879	0.577	ERR
315	0.697	0.574	ERR
316	0.579	0.590	ERR
317	0.581	0.591	ERR
318	0.557	0.590	ERR
319	0.438	0.591	ERR
320	0.578	0.603	ERR
321	0.564	0.616	ERR
322	1.817	0.742	OK
323	0.406	0.710	ERR
324	0.726	0.694	ERR
325	0.705	0.695	ERR
326	0.290	0.666	ERR
327	0.291	0.637	ERR
328	0.717	0.653	ERR
329	0.557	0.665	ERR
330	0.574	0.665	ERR
331	0.860	0.694	ERR
332	0.563	0.569	ERR
333	0.873	0.616	ERR
334	0.427	0.586	ERR
335	0.421	0.557	ERR
336	0.745	0.603	ERR
337	0.603	0.634	ERR
338	0.431	0.605	ERR
339	0.881	0.638	ERR
340	0.714	0.652	ERR
341	0.746	0.640	ERR
342	0.874	0.672	ERR
343	0.297	0.614	ERR
344	0.733	0.645	ERR
345	0.772	0.680	ERR
346	0.755	0.681	ERR
347	0.739	0.694	ERR
348	1.771	0.828	OK
349	0.550	0.795	ERR
350	0.839	0.808	ERR
351	0.291	0.762	ERR
352	0.544	0.729	ERR
353	1.774	0.877	OK
354	0.856	0.889	ERR
355	0.854	0.897	ERR
356	0.397	0.862	ERR
357	0.554	0.843	ERR
358	0.698	0.736	ERR
359	0.406	0.721	ERR
360	0.562	0.694	ERR
361	0.299	0.695	ERR
362	0.440	0.684	ERR
363	0.298	0.537	ERR
364	0.417	0.493	ERR
365	0.318	0.439	ERR
366	0.564	0.456	ERR
367	0.725	0.473	ERR
368	0.870	0.490	ERR
369	0.598	0.509	ERR
370	0.565	0.510	ERR
371	0.729	0.553	ERR
372	0.718	0.580	ERR
373	0.841	0.635	ERR
374	0.546	0.648	ERR
375	0.435	0.659	ERR
376	0.711	0.674	ERR
377	0.865	0.688	ERR
378	0.547	0.656	ERR
379	1.820	0.778	OK
380	0.574	0.779	ERR
381	0.409	0.747	ERR
382	0.555	0.730	ERR
383	0.857	0.732	ERR
384	0.269	0.704	ERR
385	0.858	0.746	ERR
386	0.406	0.716	ERR
387	0.428	0.672	ERR
388	0.408	0.658	ERR
389	0.717	0.548	ERR
390	0.428	0.533	ERR
391	0.582	0.551	ERR
392	0.835	0.579	ERR
393	0.413	0.534	ERR
394	0.571	0.564	ERR
395	0.566	0.535	ERR
396	0.569	0.552	ERR
397	1.814	0.690	OK
398	0.323	0.682	ERR
399	0.419	0.652	ERR

---- Final results ----
400 NS requests
372 failed requests
28 success requests
263.433 ellapsed time
