ya esta creado!
#req	time (sec)	avg. time (sec)	mapping
0	0.416	0.000	ERR
1	0.830	0.000	ERR
2	0.527	0.000	ERR
3	0.585	0.000	ERR
4	0.613	0.000	OK
5	0.749	0.000	ERR
6	0.528	0.000	ERR
7	0.607	0.000	OK
8	1.253	0.000	OK
9	1.365	0.000	ERR
10	0.460	0.752	ERR
11	0.433	0.712	ERR
12	0.585	0.718	ERR
13	0.470	0.706	ERR
14	0.735	0.719	ERR
15	1.604	0.804	ERR
16	0.399	0.791	ERR
17	0.585	0.789	ERR
18	0.448	0.709	ERR
19	0.414	0.614	ERR
20	0.893	0.657	ERR
21	0.859	0.699	ERR
22	0.851	0.726	ERR
23	0.454	0.724	ERR
24	1.088	0.760	ERR
25	0.416	0.641	ERR
26	1.035	0.704	ERR
27	0.485	0.694	ERR
28	0.899	0.739	OK
29	0.913	0.789	ERR
30	0.693	0.769	OK
31	1.567	0.840	ERR
32	1.073	0.862	ERR
33	0.586	0.876	ERR
34	0.445	0.811	ERR
35	0.590	0.829	ERR
36	1.076	0.833	OK
37	0.892	0.873	ERR
38	0.937	0.877	ERR
39	0.743	0.860	OK
40	0.832	0.874	ERR
41	1.478	0.865	ERR
42	0.468	0.805	ERR
43	0.470	0.793	ERR
44	0.467	0.795	ERR
45	0.504	0.787	ERR
46	0.446	0.724	ERR
47	0.497	0.684	OK
48	0.514	0.642	ERR
49	1.171	0.685	ERR
50	0.367	0.638	ERR
51	0.454	0.536	ERR
52	0.794	0.568	ERR
53	0.454	0.567	ERR
54	0.889	0.609	OK
55	0.397	0.598	ERR
56	0.433	0.597	ERR
57	2.413	0.789	OK
58	0.898	0.827	ERR
59	0.415	0.751	ERR
60	0.585	0.773	ERR
61	0.454	0.773	ERR
62	0.197	0.713	OK
63	0.469	0.715	ERR
64	0.170	0.643	OK
65	0.470	0.650	ERR
66	0.972	0.704	ERR
67	0.471	0.510	ERR
68	0.544	0.475	OK
69	0.457	0.479	ERR
70	1.254	0.546	ERR
71	1.851	0.686	OK
72	0.868	0.753	ERR
73	0.400	0.746	ERR
74	1.060	0.835	ERR
75	0.415	0.829	ERR
76	0.455	0.777	ERR
77	0.586	0.789	ERR
78	1.280	0.863	OK
79	0.446	0.861	ERR
80	1.099	0.846	ERR
81	1.940	0.855	OK
82	0.399	0.808	ERR
83	1.059	0.874	ERR
84	0.504	0.818	ERR
85	0.942	0.871	ERR
86	0.449	0.870	ERR
87	1.045	0.916	OK
88	1.579	0.946	ERR
89	1.432	1.045	ERR
90	0.799	1.015	ERR
91	0.490	0.870	ERR
92	0.738	0.904	ERR
93	0.398	0.838	ERR
94	0.824	0.869	OK
95	0.841	0.859	ERR
96	1.387	0.953	ERR
97	0.810	0.930	ERR
98	0.992	0.871	OK
99	0.420	0.770	ERR
100	1.975	0.887	ERR
101	1.336	0.972	ERR
102	0.453	0.943	ERR
103	1.007	1.004	ERR
104	0.886	1.011	ERR
105	0.413	0.968	ERR
106	1.249	0.954	ERR
107	0.585	0.932	ERR
108	1.015	0.934	ERR
109	2.310	1.123	OK
110	0.528	0.978	ERR
111	1.140	0.959	OK
112	0.366	0.950	ERR
113	0.550	0.904	ERR
114	0.432	0.859	ERR
115	0.961	0.914	ERR
116	0.503	0.839	ERR
117	0.956	0.876	ERR
118	0.444	0.819	ERR
119	0.395	0.627	ERR
120	0.829	0.658	ERR
121	0.513	0.595	ERR
122	1.075	0.666	ERR
123	0.794	0.690	ERR
124	0.487	0.696	ERR
125	0.396	0.639	ERR
126	0.522	0.641	ERR
127	0.733	0.619	ERR
128	1.262	0.701	ERR
129	0.504	0.712	ERR
130	0.465	0.675	ERR
131	0.983	0.722	ERR
132	0.528	0.667	ERR
133	0.470	0.635	ERR
134	0.797	0.666	ERR
135	1.249	0.751	ERR
136	0.399	0.739	ERR
137	0.379	0.704	ERR
138	0.485	0.626	ERR
139	0.733	0.649	ERR
140	0.445	0.647	ERR
141	1.243	0.673	ERR
142	0.528	0.673	ERR
143	0.454	0.671	ERR
144	1.561	0.748	ERR
145	0.733	0.696	ERR
146	0.866	0.743	ERR
147	0.662	0.771	ERR
148	0.733	0.796	ERR
149	0.396	0.762	ERR
150	1.525	0.870	ERR
151	2.194	0.965	OK
152	0.503	0.963	ERR
153	1.437	1.061	ERR
154	0.503	0.955	ERR
155	1.003	0.982	OK
156	0.800	0.975	ERR
157	0.813	0.991	ERR
158	0.528	0.970	ERR
159	0.353	0.966	OK
160	0.463	0.860	ERR
161	0.470	0.687	ERR
162	0.400	0.677	ERR
163	0.454	0.579	ERR
164	0.450	0.573	ERR
165	0.990	0.572	ERR
166	0.503	0.542	ERR
167	0.379	0.499	ERR
168	0.365	0.483	ERR
169	0.448	0.492	ERR
170	0.470	0.493	ERR
171	0.585	0.504	ERR
172	0.454	0.510	ERR
173	0.366	0.501	ERR
174	0.815	0.537	ERR
175	0.504	0.489	ERR
176	0.485	0.487	ERR
177	1.264	0.576	ERR
178	0.971	0.636	ERR
179	1.632	0.755	ERR
180	1.702	0.878	ERR
181	0.437	0.863	ERR
182	0.733	0.891	ERR
183	0.505	0.905	ERR
184	0.448	0.868	ERR
185	0.445	0.862	ERR
186	0.585	0.872	ERR
187	0.937	0.839	OK
188	0.529	0.795	ERR
189	1.206	0.753	ERR
190	0.967	0.679	ERR
191	0.942	0.730	ERR
192	0.399	0.696	ERR
193	1.600	0.806	ERR
194	0.734	0.834	ERR
195	1.289	0.919	OK
196	1.231	0.983	ERR
197	0.769	0.967	ERR
