ya esta creado!
#req	time (sec)	avg. time (sec)	mapping
0	0.830	0.000	OK
1	2.311	0.000	OK
2	0.782	0.000	ERR
3	1.715	0.000	ERR
4	0.747	0.000	OK
5	0.472	0.000	OK
6	0.781	0.000	ERR
7	0.520	0.000	OK
8	1.458	0.000	OK
9	1.363	0.000	OK
10	0.133	1.028	OK
11	1.135	0.910	OK
12	2.045	1.037	ERR
13	0.808	0.946	OK
14	0.619	0.933	OK
15	1.748	1.061	OK
16	0.709	1.054	OK
17	0.883	1.090	ERR
18	1.022	1.046	OK
19	1.072	1.017	OK
20	0.917	1.096	OK
21	1.149	1.097	ERR
22	1.389	1.031	OK
23	0.672	1.018	ERR
24	3.078	1.264	ERR
25	1.052	1.194	OK
26	0.829	1.206	ERR
27	0.716	1.190	ERR
28	0.728	1.160	OK
29	1.041	1.157	OK
30	0.809	1.146	OK
31	0.935	1.125	OK
32	2.375	1.224	OK
33	2.395	1.396	ERR
34	0.702	1.158	OK
35	0.727	1.126	OK
36	1.171	1.160	OK
37	2.509	1.339	OK
38	2.432	1.510	OK
39	1.471	1.553	OK
40	1.876	1.659	OK
41	2.047	1.770	ERR
42	1.496	1.683	OK
43	1.328	1.576	ERR
44	1.147	1.621	OK
45	1.343	1.682	OK
46	0.816	1.647	OK
47	0.245	1.420	OK
48	1.494	1.326	OK
49	3.465	1.526	ERR
50	1.869	1.525	OK
51	1.311	1.452	ERR
52	1.198	1.422	OK
53	0.663	1.355	ERR
54	0.519	1.292	OK
55	1.114	1.269	OK
56	0.628	1.251	ERR
57	1.816	1.408	OK
58	2.171	1.475	OK
59	1.462	1.275	OK
60	0.883	1.177	ERR
61	1.342	1.180	ERR
62	0.242	1.084	OK
63	0.479	1.066	OK
64	0.173	1.031	OK
65	2.021	1.122	ERR
66	0.731	1.132	ERR
67	1.385	1.089	ERR
68	0.233	0.895	OK
69	1.215	0.870	OK
70	1.673	0.949	ERR
71	1.867	1.002	OK
72	2.267	1.205	OK
73	1.152	1.272	OK
74	1.366	1.391	ERR
75	1.016	1.291	OK
76	0.660	1.284	ERR
77	0.879	1.233	ERR
78	0.995	1.309	OK
79	0.631	1.251	OK
80	2.099	1.293	ERR
81	1.500	1.257	OK
82	0.728	1.103	OK
83	0.804	1.068	ERR
84	0.696	1.001	OK
85	1.674	1.067	OK
86	0.754	1.076	OK
87	0.783	1.066	OK
88	2.431	1.210	OK
89	2.899	1.437	OK
90	1.126	1.339	OK
91	1.213	1.311	ERR
92	0.531	1.291	ERR
93	1.775	1.388	OK
94	0.479	1.367	OK
95	0.635	1.263	OK
96	1.441	1.331	OK
97	0.658	1.319	OK
98	0.693	1.145	OK
99	0.662	0.921	ERR
100	2.476	1.056	OK
101	1.841	1.119	OK
102	0.658	1.132	ERR
103	2.501	1.204	OK
104	1.138	1.270	ERR
105	1.089	1.316	OK
106	1.189	1.291	ERR
107	1.705	1.395	ERR
108	0.448	1.371	OK
109	2.685	1.573	OK
110	1.451	1.471	OK
111	1.187	1.405	ERR
112	0.534	1.393	ERR
113	0.830	1.226	ERR
114	0.663	1.178	OK
115	1.855	1.255	OK
116	1.538	1.290	OK
117	2.211	1.340	OK
118	0.699	1.365	ERR
119	0.602	1.157	ERR
120	1.085	1.120	ERR
121	1.426	1.144	OK
122	2.430	1.334	ERR
123	1.149	1.366	ERR
124	2.579	1.557	OK
125	1.222	1.494	ERR
126	1.537	1.494	OK
127	1.404	1.413	OK
128	1.501	1.493	OK
129	0.976	1.531	OK
130	2.176	1.640	OK
131	2.144	1.712	OK
132	0.785	1.547	ERR
133	1.776	1.610	OK
134	1.615	1.514	OK
135	3.107	1.702	OK
136	0.572	1.606	ERR
137	0.532	1.518	ERR
138	2.050	1.573	ERR
139	0.638	1.540	OK
140	1.855	1.507	ERR
141	2.589	1.552	OK
142	0.783	1.552	ERR
143	1.172	1.491	OK
144	1.361	1.466	OK
145	0.530	1.208	ERR
146	1.155	1.267	ERR
147	0.961	1.309	ERR
148	0.529	1.157	ERR
149	0.542	1.148	ERR
150	1.579	1.120	OK
151	2.060	1.067	OK
152	1.410	1.130	OK
153	2.253	1.238	ERR
154	1.102	1.212	OK
155	0.963	1.255	OK
156	0.607	1.201	ERR
157	1.224	1.227	ERR
158	1.645	1.338	ERR
159	1.193	1.403	OK
160	2.777	1.523	OK
161	0.687	1.386	ERR
162	1.199	1.365	ERR
163	0.657	1.205	ERR
164	0.936	1.189	OK
165	1.313	1.224	ERR
166	1.040	1.267	OK
167	0.497	1.194	OK
168	0.953	1.125	ERR
169	0.930	1.099	OK
170	2.614	1.083	OK
171	1.705	1.185	ERR
