step algorithm accepted improved time disk memory cpu
1 dfs 400 0 86.385 190.00 200 65
1 bfs 400 0 287.217 190.00 200 65
1 dijkstra 400 0 348.445 190.00 200 65
1 tabuDijkstra 400 137 4955.705 190.00 200 65
2 dfs 393 0 103.422 172.70 181 60
2 bfs 392 0 338.063 172.70 181 60
2 dijkstra 391 0 391.193 172.70 181 60
2 tabuDijkstra 390 136 5193.521 172.70 181 60
3 dfs 363 0 126.051 155.40 163 55
3 bfs 356 0 378.109 155.40 163 55
3 dijkstra 359 0 464.724 155.40 163 55
3 tabuDijkstra 359 112 5389.413 155.40 163 55
4 dfs 317 0 145.739 138.10 145 50
4 bfs 308 0 387.817 138.10 145 50
4 dijkstra 311 0 490.648 138.10 145 50
4 tabuDijkstra 314 116 5113.118 138.10 145 50
5 dfs 245 0 161.579 120.80 126 45
5 bfs 239 0 397.111 120.80 126 45
5 dijkstra 242 0 526.226 120.80 126 45
5 tabuDijkstra 247 94 4214.149 120.80 126 45
6 dfs 178 0 176.756 103.50 108 41
6 bfs 173 0 409.397 103.50 108 41
6 dijkstra 179 0 538.207 103.50 108 41
6 tabuDijkstra 176 59 3427.791 103.50 108 41
7 dfs 109 0 173.756 86.20 90 36
7 bfs 108 0 372.243 86.20 90 36
7 dijkstra 111 0 489.175 86.20 90 36
7 tabuDijkstra 113 40 2289.627 86.20 90 36
8 dfs 41 0 164.605 68.90 71 31
8 bfs 40 0 305.464 68.90 71 31
8 dijkstra 40 0 417.563 68.90 71 31
8 tabuDijkstra 40 9 1078.812 68.90 71 31
9 dfs 12 0 152.698 51.60 53 26
9 bfs 12 0 252.743 51.60 53 26
9 dijkstra 11 0 347.357 51.60 53 26
9 tabuDijkstra 13 5 545.245 51.60 53 26
10 dfs 1 0 145.753 34.30 35 21
10 bfs 1 0 207.937 34.30 35 21
10 dijkstra 1 0 300.296 34.30 35 21
10 tabuDijkstra 1 1 312.981 34.30 35 21
11 dfs 0 0 137.311 17.00 17 17
11 bfs 0 0 178.928 17.00 17 17
11 dijkstra 0 0 265.952 17.00 17 17
11 tabuDijkstra 0 0 265.418 17.00 17 17
