ya esta creado!
#req	time (sec)	avg. time (sec)	mapping
0	4.783	0.000	OK
1	17.168	0.000	OK
2	14.465	0.000	OK
3	25.967	0.000	OK
4	14.044	0.000	OK
5	1.288	0.000	OK
6	21.425	0.000	OK
7	7.959	0.000	OK
8	11.693	0.000	OK
9	2.929	0.000	OK
10	1.660	11.860	OK
11	9.567	11.100	OK
12	21.935	11.847	OK
13	4.986	9.749	OK
14	5.833	8.927	OK
15	12.640	10.063	OK
16	11.431	9.063	OK
17	19.796	10.247	OK
18	12.101	10.288	OK
19	6.846	10.680	OK
20	9.565	11.470	OK
21	8.561	11.370	OK
22	5.542	9.730	OK
23	10.216	10.253	OK
24	14.766	11.147	OK
25	10.539	10.937	OK
26	14.146	11.208	OK
27	13.802	10.609	OK
28	2.734	9.672	OK
29	1.761	9.163	OK
30	14.629	9.670	OK
31	13.630	10.176	OK
32	8.890	10.511	OK
33	18.738	11.363	OK
34	17.751	11.662	OK
35	2.200	10.828	OK
36	7.681	10.182	OK
37	18.519	10.653	OK
38	21.517	12.532	OK
39	11.488	13.504	OK
40	12.352	13.277	OK
41	11.407	13.054	OK
42	13.843	13.550	OK
43	14.329	13.109	OK
44	11.071	12.441	OK
45	8.897	13.110	OK
46	1.981	12.540	OK
47	1.856	10.874	OK
48	11.489	9.871	OK
49	20.290	10.751	OK
50	8.929	10.409	OK
51	15.538	10.822	OK
52	10.703	10.508	OK
53	17.987	10.874	OK
54	14.633	11.230	OK
55	9.631	11.304	OK
56	8.816	11.987	OK
57	8.791	12.681	OK
58	11.436	12.675	OK
59	12.054	11.852	OK
60	28.390	13.798	OK
61	5.136	12.758	OK
62	2.032	11.891	OK
63	17.344	11.826	OK
64	1.382	10.501	OK
65	15.914	11.129	OK
66	17.023	11.950	OK
67	17.358	12.807	OK
68	1.861	11.849	OK
69	18.178	12.462	OK
70	19.963	11.619	OK
71	7.241	11.829	OK
72	6.219	12.248	OK
73	8.409	11.355	OK
74	23.251	13.541	OK
75	3.507	12.301	OK
76	12.697	11.868	OK
77	8.652	10.998	OK
