#req	time (sec)	avg. time (sec)	mapping
0	0.117	0.000	ERR
1	1.005	0.000	OK
2	9.078	0.000	OK
3	12.250	0.000	OK
4	5.892	0.000	OK
5	7.378	0.000	OK
6	0.097	0.000	ERR
7	8.314	0.000	OK
8	7.870	0.000	OK
9	8.359	0.000	OK
10	0.193	6.044	ERR
11	1.453	6.088	OK
12	6.015	5.782	OK
13	3.690	4.926	OK
14	0.529	4.390	OK
15	2.784	3.930	OK
16	3.826	4.303	OK
17	1.052	3.577	OK
18	0.187	2.809	ERR
19	6.918	2.665	OK
20	2.969	2.942	OK
21	3.011	3.098	OK
22	6.950	3.191	OK
23	2.847	3.107	OK
24	2.020	3.256	OK
25	0.151	2.993	ERR
26	0.527	2.663	OK
27	10.099	3.568	OK
28	0.083	3.557	ERR
29	1.763	3.042	ERR
30	0.118	2.757	ERR
31	10.149	3.471	OK
32	1.667	2.942	OK
33	5.550	3.213	OK
34	6.883	3.699	OK
35	0.945	3.779	OK
36	3.729	4.099	OK
37	0.551	3.144	OK
38	8.779	4.014	OK
39	3.688	4.206	OK
40	7.258	4.920	OK
41	2.731	4.178	OK
42	16.453	5.657	OK
43	3.355	5.437	OK
44	0.148	4.764	ERR
45	1.338	4.803	OK
46	0.167	4.447	ERR
47	2.558	4.647	OK
48	9.350	4.705	OK
49	0.132	4.349	ERR
50	0.082	3.631	ERR
51	2.719	3.630	OK
52	0.867	2.072	OK
53	0.113	1.747	ERR
54	2.932	2.026	OK
55	0.048	1.897	ERR
56	1.422	2.022	OK
57	2.112	1.978	OK
58	4.440	1.487	OK
59	5.236	1.997	OK
60	5.143	2.503	OK
61	4.867	2.718	OK
62	4.396	3.071	OK
63	0.071	3.067	ERR
64	7.068	3.480	OK
65	0.659	3.541	OK
66	1.533	3.552	ERR
67	0.112	3.353	ERR
68	3.817	3.290	OK
69	0.843	2.851	OK
70	0.133	2.350	ERR
71	1.098	1.973	OK
72	0.657	1.599	OK
73	13.695	2.961	OK
74	5.880	2.843	OK
75	3.117	3.088	OK
76	0.017	2.937	ERR
77	0.152	2.941	ERR
78	1.138	2.673	OK
79	0.141	2.603	ERR
80	0.665	2.656	OK
81	0.064	2.553	ERR
82	0.235	2.510	ERR
83	7.417	1.883	OK
84	5.177	1.812	OK
85	7.191	2.220	OK
86	1.003	2.318	OK
87	8.523	3.155	OK
88	7.856	3.827	OK
89	1.761	3.989	ERR
90	1.186	4.041	OK
91	0.141	4.049	ERR
92	1.358	4.161	ERR
93	5.841	4.004	OK
94	0.145	3.501	ERR
95	6.437	3.425	OK
96	1.345	3.459	ERR
97	3.852	2.992	OK
98	0.176	2.224	ERR
99	0.143	2.062	ERR
100	0.897	2.034	OK
101	0.130	2.032	ERR
102	0.114	1.908	ERR
103	0.069	1.331	ERR
104	3.073	1.624	OK
105	0.141	0.994	ERR
106	1.550	1.015	OK
107	0.137	0.643	ERR
