#req	time (sec)	avg. time (sec)	mapping
0	0.075	0.000	ERR
1	4.631	0.000	OK
2	5.232	0.000	OK
3	5.611	0.000	OK
4	3.348	0.000	OK
5	5.831	0.000	OK
6	0.099	0.000	ERR
7	6.173	0.000	OK
8	1.819	0.000	OK
9	4.800	0.000	OK
10	0.148	3.769	ERR
11	3.371	3.643	OK
12	6.965	3.817	OK
13	6.445	3.900	OK
14	4.122	3.977	OK
15	4.747	3.869	OK
16	3.741	4.233	OK
17	1.143	3.730	OK
18	0.134	3.562	ERR
19	2.397	3.321	OK
20	6.276	3.934	OK
21	2.895	3.886	OK
22	6.212	3.811	OK
23	3.942	3.561	OK
24	1.628	3.311	OK
25	0.139	2.851	ERR
26	5.210	2.997	OK
27	7.769	3.660	OK
28	0.083	3.655	ERR
29	0.913	3.507	ERR
30	0.096	2.889	ERR
31	10.775	3.677	OK
32	3.126	3.368	OK
33	3.394	3.313	OK
34	3.795	3.530	OK
35	5.291	4.045	OK
36	6.552	4.180	OK
37	2.042	3.607	OK
38	8.155	4.414	OK
39	2.185	4.541	OK
40	5.099	5.042	OK
41	4.092	4.373	OK
42	7.510	4.812	OK
43	4.531	4.925	OK
44	2.943	4.840	OK
45	4.308	4.742	OK
46	0.136	4.100	ERR
47	6.047	4.501	OK
48	0.010	3.686	ERR
49	0.107	3.478	ERR
50	0.086	2.977	ERR
51	2.609	2.829	OK
52	3.983	2.476	OK
53	0.095	2.032	ERR
54	6.296	2.368	OK
55	0.070	1.944	ERR
56	0.487	1.979	OK
57	1.821	1.556	OK
58	2.507	1.806	OK
59	3.971	2.193	OK
60	4.827	2.667	OK
61	3.711	2.777	OK
62	5.414	2.920	OK
63	0.075	2.918	ERR
64	8.623	3.150	OK
65	4.952	3.639	OK
66	0.627	3.653	ERR
67	0.113	3.482	ERR
68	0.298	3.261	OK
69	7.252	3.589	OK
70	0.118	3.118	ERR
71	0.889	2.836	OK
72	0.321	2.327	OK
73	0.629	2.382	ERR
74	5.435	2.063	OK
75	0.033	1.571	ERR
76	0.798	1.589	ERR
77	0.127	1.590	ERR
78	0.232	1.583	OK
79	0.101	0.868	ERR
80	4.132	1.269	OK
81	0.066	1.187	ERR
82	5.240	1.679	OK
83	0.517	1.668	ERR
84	2.469	1.371	OK
85	2.363	1.604	OK
86	2.404	1.765	OK
87	6.638	2.416	OK
88	5.217	2.915	OK
89	0.704	2.975	ERR
90	3.430	2.905	OK
91	0.115	2.910	ERR
92	13.036	3.689	OK
93	4.133	4.051	OK
94	0.114	3.815	ERR
95	5.639	4.143	OK
96	6.226	4.525	OK
97	6.659	4.527	OK
98	0.124	4.018	ERR
99	0.088	3.956	ERR
100	4.915	4.105	OK
101	0.101	4.104	ERR
102	0.738	2.874	ERR
103	0.070	2.467	ERR
104	4.431	2.899	OK
105	0.123	2.348	ERR
106	0.522	1.777	ERR
107	0.137	1.125	ERR
108	0.264	1.139	OK
109	0.081	1.138	ERR
110	6.948	1.342	OK
111	0.723	1.404	OK
112	1.381	1.468	OK
113	4.894	1.950	OK
114	1.635	1.671	OK
115	0.132	1.672	ERR
116	6.323	2.252	OK
117	0.839	2.322	ERR
118	0.295	2.325	ERR
119	0.098	2.327	ERR
120	2.840	1.916	OK
121	0.112	1.855	ERR
122	0.468	1.764	ERR
123	3.927	1.667	OK
124	3.889	1.892	OK
125	2.521	2.131	OK
126	2.118	1.711	OK
127	8.333	2.460	OK
128	0.359	2.467	OK
129	9.104	3.367	OK
130	3.416	3.425	OK
131	0.729	3.486	ERR
132	5.680	4.008	OK
133	1.277	3.743	ERR
134	8.055	4.159	OK
135	3.459	4.253	OK
136	0.016	4.043	ERR
137	2.847	3.494	OK
138	7.684	4.227	OK
139	0.091	3.325	ERR
140	0.136	2.997	ERR
141	0.121	2.937	ERR
142	0.672	2.436	ERR
143	1.470	2.455	OK
144	6.032	2.253	OK
145	0.101	1.917	ERR
146	0.039	1.919	ERR
147	2.013	1.836	OK
148	0.059	1.073	ERR
149	1.941	1.258	OK
150	7.766	2.021	OK
151	0.123	2.022	ERR
152	6.712	2.626	OK
153	1.202	2.599	OK
154	3.622	2.358	OK
