#req	time (sec)	avg. time (sec)	mapping
0	0.144	0.000	ERR
1	1.505	0.000	OK
2	6.049	0.000	OK
3	12.393	0.000	OK
4	6.234	0.000	OK
5	4.413	0.000	OK
6	0.100	0.000	ERR
7	8.996	0.000	OK
8	10.296	0.000	OK
9	7.828	0.000	OK
10	0.252	5.807	ERR
11	1.920	5.848	OK
12	6.423	5.886	OK
13	4.537	5.100	OK
14	0.947	4.571	OK
15	3.066	4.437	OK
16	4.556	4.882	OK
17	1.542	4.137	OK
18	0.240	3.131	ERR
19	6.535	3.002	OK
20	2.968	3.273	OK
21	2.723	3.354	OK
22	5.799	3.291	OK
23	2.558	3.093	OK
24	2.807	3.279	OK
25	0.196	2.992	ERR
26	1.136	2.650	OK
27	13.375	3.834	OK
28	0.095	3.819	ERR
29	1.236	3.289	OK
30	0.151	3.008	ERR
31	5.262	3.261	OK
32	2.129	2.894	OK
33	6.824	3.321	OK
34	4.864	3.527	OK
35	1.403	3.647	OK
36	4.755	4.009	OK
37	0.969	2.769	OK
38	11.262	3.885	OK
39	4.424	4.204	OK
40	7.587	4.948	OK
41	2.970	4.719	OK
42	8.563	5.362	OK
43	3.763	5.056	OK
44	0.169	4.587	ERR
45	1.991	4.645	OK
46	0.208	4.191	ERR
47	2.468	4.340	OK
48	8.748	4.089	OK
49	0.159	3.662	ERR
50	0.095	2.913	ERR
51	3.070	2.923	OK
52	1.564	2.224	OK
53	0.137	1.861	ERR
54	3.183	2.162	OK
55	0.067	1.970	ERR
56	1.655	2.115	OK
57	2.219	2.090	OK
58	4.015	1.617	OK
59	3.639	1.965	OK
60	5.785	2.533	OK
61	6.808	2.907	OK
62	6.256	3.376	OK
63	0.083	3.371	ERR
64	6.811	3.734	OK
65	1.430	3.870	OK
66	1.258	3.830	ERR
67	0.126	3.621	ERR
68	4.878	3.707	OK
69	1.899	3.533	OK
70	0.158	2.971	ERR
71	1.068	2.397	OK
72	0.888	1.860	OK
73	12.512	3.103	OK
74	5.051	2.927	OK
75	5.771	3.361	OK
76	0.017	3.237	ERR
77	0.173	3.242	ERR
78	1.159	2.870	OK
79	0.187	2.698	ERR
80	1.370	2.820	OK
81	0.065	2.719	ERR
82	5.052	3.136	OK
83	5.769	2.461	OK
84	9.790	2.935	OK
85	11.272	3.485	OK
86	1.289	3.613	OK
87	7.414	4.337	OK
88	8.702	5.091	OK
89	1.428	5.215	ERR
90	1.307	5.209	OK
91	0.213	5.224	ERR
92	10.513	5.770	OK
93	9.139	6.107	OK
94	0.168	5.145	ERR
95	6.200	4.637	OK
96	4.565	4.965	OK
97	3.545	4.578	OK
