#req	time (sec)	avg. time (sec)	mapping
0	0.021	0.000	ERR
1	6.919	0.000	OK
2	0.751	0.000	OK
3	0.021	0.000	ERR
4	7.991	0.000	OK
5	5.428	0.000	OK
6	1.187	0.000	OK
7	1.081	0.000	OK
8	0.025	0.000	ERR
9	0.026	0.000	ERR
10	0.020	2.345	ERR
11	0.947	1.748	OK
12	0.779	1.750	OK
13	0.021	1.750	ERR
14	10.921	2.043	OK
15	3.890	1.890	OK
16	0.409	1.812	OK
17	0.029	1.707	ERR
18	2.501	1.954	OK
19	3.158	2.267	OK
20	2.522	2.518	OK
21	0.026	2.426	ERR
22	2.567	2.604	OK
23	0.016	2.604	ERR
24	7.084	2.220	OK
25	10.429	2.874	OK
26	0.022	2.835	ERR
27	0.014	2.834	ERR
28	0.021	2.586	ERR
29	1.036	2.374	OK
30	0.026	2.124	ERR
31	2.984	2.420	OK
32	0.894	2.252	OK
33	7.567	3.008	OK
34	5.262	2.825	OK
35	11.647	2.947	OK
MEJORA: 32 better than: 24
36	3.579	3.303	OK
37	4.463	3.748	OK
38	0.015	3.747	ERR
39	4.253	4.069	OK
40	0.025	4.069	ERR
41	6.563	4.427	OK
42	5.035	4.841	OK
43	0.018	4.086	ERR
44	0.016	3.562	ERR
45	0.016	2.398	ERR
MEJORA: 28 better than: 24
46	6.064	2.647	OK
47	0.017	2.202	ERR
48	0.016	2.202	ERR
49	0.016	1.779	ERR
50	6.753	2.452	OK
51	0.033	1.799	ERR
52	9.200	2.215	OK
53	0.025	2.216	ERR
54	10.595	3.274	OK
55	0.017	3.274	ERR
56	12.579	3.925	OK
57	0.023	3.926	ERR
58	0.025	3.927	ERR
59	0.033	3.928	ERR
60	0.552	3.308	ERR
61	0.022	3.307	ERR
62	10.575	3.445	OK
63	0.018	3.444	ERR
64	8.523	3.237	OK
65	12.384	4.473	OK
66	0.980	3.313	OK
67	0.015	3.313	ERR
68	0.026	3.313	ERR
69	0.015	3.311	ERR
70	0.022	3.258	ERR
71	0.013	3.257	ERR
72	0.884	2.288	OK
73	0.026	2.289	ERR
74	0.017	1.438	ERR
75	0.032	0.203	ERR
76	0.881	0.193	OK
77	0.589	0.251	OK
78	0.021	0.250	ERR
79	0.025	0.251	ERR
80	0.016	0.250	ERR
81	0.015	0.251	ERR
82	0.016	0.164	ERR
83	0.909	0.252	OK
MEJORA: 72 better than: 64
84	9.163	1.167	OK
MEJORA: 24 better than: 20
MEJORA: 20 better than: 16
85	1.957	1.359	OK
86	0.033	1.274	ERR
87	0.018	1.217	ERR
88	0.020	1.217	ERR
89	0.023	1.217	ERR
90	6.841	1.900	OK
91	0.016	1.900	ERR
92	0.020	1.900	ERR
93	3.856	2.195	OK
94	0.020	1.280	ERR
95	0.026	1.087	ERR
96	5.152	1.599	OK
97	5.592	2.157	OK
98	0.022	2.157	ERR
99	0.889	2.243	OK
100	0.017	1.561	ERR
101	0.020	1.561	ERR
102	0.019	1.561	ERR
103	0.015	1.177	ERR
104	9.165	2.092	OK
105	2.743	2.363	OK
106	0.702	1.919	OK
107	1.091	1.468	OK
