#req	time (sec)	avg. time (sec)	mapping
0	0.020	0.000	ERR
1	0.396	0.000	OK
2	0.320	0.000	OK
3	0.019	0.000	ERR
4	4.213	0.000	OK
5	0.814	0.000	OK
MEJORA: 48 better than: 40
6	2.485	0.000	OK
MEJORA: 48 better than: 40
7	2.089	0.000	OK
8	0.025	0.000	ERR
9	0.025	0.000	ERR
10	0.019	1.041	ERR
11	4.246	1.426	OK
12	0.731	1.467	OK
13	0.021	1.467	ERR
14	0.717	1.117	ERR
MEJORA: 24 better than: 20
15	0.618	1.098	OK
16	3.419	1.191	OK
17	0.028	0.985	ERR
18	1.316	1.114	OK
19	0.481	1.160	ERR
20	1.908	1.348	OK
21	0.026	0.926	ERR
22	0.754	0.929	OK
23	0.016	0.928	ERR
24	4.070	1.264	OK
MEJORA: 104 better than: 90
MEJORA: 90 better than: 88
MEJORA: 88 better than: 71
25	6.699	1.872	OK
26	0.021	1.532	ERR
27	0.013	1.530	ERR
28	0.020	1.401	ERR
MEJORA: 80 better than: 60
29	2.072	1.560	OK
30	0.024	1.372	ERR
31	1.034	1.472	OK
32	0.369	1.434	OK
MEJORA: 24 better than: 20
33	1.196	1.552	OK
34	3.149	1.460	OK
35	5.137	1.304	OK
36	4.433	1.745	OK
37	1.712	1.915	OK
38	0.016	1.914	ERR
39	2.417	1.949	OK
40	0.025	1.949	ERR
41	1.915	2.037	OK
42	1.328	2.133	OK
43	0.018	2.015	ERR
44	0.017	1.702	ERR
45	0.016	1.190	ERR
46	2.228	0.969	OK
47	0.017	0.800	ERR
48	0.016	0.800	ERR
49	0.016	0.560	ERR
50	1.143	0.671	OK
51	0.031	0.483	ERR
52	1.780	0.528	OK
53	0.024	0.529	ERR
54	2.514	0.778	OK
55	0.017	0.779	ERR
56	0.640	0.620	OK
57	0.022	0.620	ERR
58	0.025	0.621	ERR
59	0.032	0.623	ERR
60	0.870	0.595	OK
61	0.021	0.594	ERR
62	1.376	0.554	OK
63	0.017	0.553	ERR
64	2.108	0.513	OK
65	4.938	1.005	OK
66	2.491	1.190	OK
67	0.015	1.189	ERR
68	0.026	1.189	ERR
69	0.015	1.188	ERR
70	0.022	1.103	ERR
71	0.013	1.102	ERR
72	2.168	1.181	OK
73	0.026	1.182	ERR
74	0.017	0.973	ERR
75	0.032	0.482	ERR
MEJORA: 40 better than: 30
76	4.358	0.669	OK
77	3.077	0.975	OK
78	0.021	0.975	ERR
79	0.025	0.976	ERR
80	0.016	0.975	ERR
81	0.015	0.976	ERR
82	0.016	0.760	ERR
83	2.363	0.994	OK
84	1.266	1.119	OK
MEJORA: 36 better than: 32
MEJORA: 32 better than: 28
85	0.646	1.180	OK
86	2.277	0.972	OK
87	0.017	0.666	ERR
88	0.020	0.666	ERR
89	0.022	0.666	ERR
MEJORA: 36 better than: 32
90	0.638	0.728	OK
91	0.016	0.728	ERR
92	0.020	0.728	ERR
93	3.075	0.800	OK
94	0.019	0.675	ERR
95	0.026	0.613	ERR
96	2.541	0.639	OK
97	3.013	0.939	OK
98	0.022	0.939	ERR
99	3.374	1.274	OK
100	0.016	1.212	ERR
101	0.019	1.212	ERR
102	0.019	1.212	ERR
103	0.015	0.906	ERR
104	3.708	1.275	OK
105	0.759	1.349	OK
106	4.133	1.508	OK
107	5.786	1.785	OK
108	0.032	1.786	ERR
109	0.021	1.451	ERR
110	0.022	1.451	ERR
111	2.267	1.676	OK
112	0.032	1.677	ERR
113	1.151	1.791	OK
114	0.793	1.499	OK
115	0.019	1.425	ERR
116	4.988	1.511	OK
117	0.027	0.935	ERR
118	3.942	1.326	OK
119	2.231	1.547	OK
120	0.013	1.546	ERR
121	0.022	1.322	ERR
122	3.605	1.679	OK
123	0.021	1.566	ERR
124	0.020	1.489	ERR
125	0.032	1.490	ERR
126	0.022	0.993	ERR
127	0.025	0.993	ERR
128	2.996	0.899	OK
129	5.783	1.254	OK
130	0.010	1.253	ERR
131	0.032	1.254	ERR
132	0.010	0.895	ERR
133	0.019	0.895	ERR
134	7.750	1.668	OK
135	0.016	1.666	ERR
136	1.118	1.776	OK
137	3.128	2.086	OK
138	0.020	1.789	ERR
MEJORA: 72 better than: 60
MEJORA: 60 better than: 54
139	1.032	1.313	OK
140	0.015	1.314	ERR
141	2.835	1.594	OK
142	0.017	1.595	ERR
143	1.175	1.711	OK
144	0.025	0.938	ERR
145	0.032	0.940	ERR
MEJORA: 56 better than: 40
MEJORA: 40 better than: 32
146	3.278	1.156	OK
147	1.699	1.013	OK
148	0.022	1.013	ERR
149	0.027	0.913	ERR
150	0.032	0.914	ERR
151	0.032	0.634	ERR
152	0.026	0.635	ERR
MEJORA: 36 better than: 32
