#req	time (sec)	avg. time (sec)	mapping
0	0.019	0.000	ERR
1	3.586	0.000	OK
2	0.732	0.000	OK
3	0.020	0.000	ERR
4	4.870	0.000	OK
MEJORA: 32 better than: 30
5	5.549	0.000	OK
6	1.232	0.000	OK
7	1.083	0.000	OK
8	0.024	0.000	ERR
9	0.025	0.000	ERR
10	0.019	1.714	ERR
11	0.991	1.455	OK
12	0.793	1.461	OK
13	0.021	1.461	ERR
14	6.915	1.665	OK
15	4.281	1.538	OK
16	0.588	1.474	OK
17	0.028	1.369	ERR
18	2.005	1.567	OK
19	3.370	1.901	OK
20	2.340	2.133	OK
21	0.027	2.037	ERR
22	1.339	2.092	OK
23	0.016	2.091	ERR
24	4.491	1.849	OK
25	6.415	2.062	OK
26	0.020	2.005	ERR
27	0.013	2.004	ERR
28	0.020	1.805	ERR
29	1.318	1.600	OK
30	0.024	1.368	ERR
MEJORA: 65 better than: 61
MEJORA: 61 better than: 39
MEJORA: 39 better than: 37
31	5.301	1.896	OK
32	0.847	1.847	OK
33	4.570	2.302	OK
34	3.948	2.248	OK
MEJORA: 40 better than: 34
35	7.894	2.396	OK
36	2.917	2.685	OK
37	2.933	2.977	OK
38	0.016	2.977	ERR
39	3.539	3.199	OK
40	0.025	3.199	ERR
41	3.956	3.064	OK
42	4.418	3.422	OK
43	0.017	2.966	ERR
44	0.016	2.573	ERR
45	0.016	1.785	ERR
46	4.612	1.955	OK
47	0.017	1.663	ERR
48	0.016	1.663	ERR
49	0.016	1.311	ERR
50	4.405	1.749	OK
51	0.032	1.356	ERR
52	4.910	1.406	OK
53	0.024	1.406	ERR
54	8.716	2.276	OK
55	0.018	2.277	ERR
MEJORA: 54 better than: 46
56	6.849	2.500	OK
57	0.022	2.501	ERR
58	0.025	2.502	ERR
59	0.031	2.503	ERR
MEJORA: 44 better than: 40
MEJORA: 40 better than: 32
60	5.669	2.630	OK
61	0.021	2.629	ERR
62	7.214	2.859	OK
63	0.018	2.858	ERR
MEJORA: 30 better than: 24
64	5.433	2.530	OK
65	7.130	3.241	OK
66	1.520	2.708	OK
67	0.015	2.708	ERR
68	0.026	2.708	ERR
69	0.015	2.706	ERR
70	0.022	2.141	ERR
71	0.013	2.140	ERR
72	0.993	1.518	OK
73	0.025	1.519	ERR
74	0.017	0.977	ERR
75	0.032	0.268	ERR
76	0.966	0.212	OK
77	0.919	0.303	OK
78	0.021	0.302	ERR
79	0.024	0.303	ERR
80	0.016	0.302	ERR
81	0.015	0.303	ERR
82	0.016	0.205	ERR
83	1.011	0.303	OK
84	2.650	0.567	OK
MEJORA: 24 better than: 20
85	1.383	0.702	OK
86	0.032	0.609	ERR
87	0.017	0.518	ERR
88	0.019	0.518	ERR
89	0.022	0.518	ERR
90	5.562	1.073	OK
91	0.016	1.073	ERR
92	0.019	1.073	ERR
93	4.090	1.381	OK
94	0.020	1.118	ERR
