big,small,arrival_time,cpu,mem,disk,lifetime,profit
0,1,0.058991551231548034,1,3,21,3.4367805280427044,4.0308659382569445
0,1,0.6344885549990398,3,3,21,1.067450694617436,3.0670797303174364
0,1,1.036340461377666,4,3,21,2.688456985358068,3.192549633112286
0,1,1.2124009489351126,1,4,21,2.5454903822281665,4.567536405362699
0,1,1.626723385392708,1,3,21,2.113207525794496,4.500709851847937
0,1,2.3282922563904913,2,2,21,2.6604351676936964,3.039511038220101
0,1,2.4387541413245253,2,4,20,2.419402073744603,3.8000574651689303
0,1,2.6063182319280567,1,3,19,1.4273735648712451,3.119927176333994
0,1,2.859675055211935,1,1,20,3.435976795570304,3.4401935466887803
0,1,3.572057285370455,1,1,20,3.07249016285063,4.002998402567462
0,1,3.6004592648321325,2,4,20,3.006115562707504,3.598770334458062
0,1,3.6175372661736325,2,2,24,3.091784713846927,3.552513377080436
0,1,4.165035438197121,2,2,23,2.764476983877941,3.2530264116753633
0,1,4.185830548253192,1,2,21,3.639485544965034,4.680777314028948
0,1,4.676225064318762,4,4,20,3.532757329088761,3.4864760189005004
0,1,4.859439821813636,4,4,21,1.6241778012771557,4.94709301910099
0,1,5.17897184632738,1,1,20,1.0883137981681843,4.626222378403201
0,1,5.205005254438313,1,2,20,3.355134292452197,3.1898293645258065
0,1,5.2970439372955,2,2,22,2.0659423832778097,3.838723392461497
0,1,5.321918945331092,2,2,19,1.113128808203824,4.837066248920462
0,1,5.550385976804019,1,3,22,2.382605625612096,3.116347140372199
0,1,6.378605750733481,4,3,19,3.0193849474056034,3.023341144259467
0,1,6.6549781102184,2,4,21,3.056211366902504,4.020275485330327
0,1,6.753261223140498,2,4,22,3.07712237781465,3.290926286449352
0,1,8.436605102436763,2,2,20,1.6694643104268354,3.998402987061775
0,1,8.519260834424227,2,2,22,1.1982301893220941,4.3740622456647795
0,1,9.079541274974812,2,6,21,2.642983754198264,4.865223116612224
0,1,9.188103152076708,2,1,20,1.6928684843818163,4.526752587551137
0,1,9.278737626430905,1,3,21,1.0616500974448457,3.875618140538901
0,1,9.463933657967383,3,3,21,3.191356413333085,3.4602549916990473
0,1,9.555244027087715,1,3,19,1.5527179954682546,4.741920959252743
0,1,9.796668413682829,2,1,22,2.288934774732934,3.344875219796311
0,1,9.995267215904947,2,1,21,1.4834840089710655,3.717827294898166
0,1,10.03708051847927,1,2,19,1.8177218149368575,3.662404821082835
0,1,10.117011877901211,2,4,21,3.0279336296797945,4.866749016366042
0,1,10.169715491970186,1,3,19,1.7391370695538078,3.9830847714290165
0,1,10.959706700968805,3,2,20,2.7087689607991257,4.637997521316767
0,1,10.992614442942028,1,1,20,3.802121678239969,3.4082227524333852
0,1,11.434067102675993,2,3,22,2.0230854218754266,4.08226963934462
0,1,11.520036392356875,2,4,19,2.853351608132643,4.9086365386561175
0,1,11.606303645661159,1,3,21,2.873935308089499,4.09687891689204
0,1,12.256132623121967,1,2,20,1.3089674970653928,3.7198990821065454
0,1,12.620572135693845,1,1,21,2.9222232039255482,4.442557612643917
0,1,12.746789485650357,2,3,23,1.6962719640820616,4.7684806433367815
0,1,12.787357202986799,2,4,20,3.056181428744024,4.055004197419422
0,1,13.354320645114978,1,4,20,1.4255695606181344,4.2298909468039545
0,1,13.958919498666205,1,2,22,1.330320399544687,4.814283750367981
0,1,14.0562442738059,2,1,20,1.9792503808433313,3.9476244969418715
0,1,14.097647914771608,2,1,19,1.19210063156596,3.0678722663947138
0,1,14.22402584850126,1,2,20,2.8434626285286986,3.680285152754771
0,1,15.25223125354033,2,4,22,3.47166177496669,4.799805180173334
0,1,15.572198642236838,3,3,20,1.094662284302549,3.5383909492548122
0,1,17.282213381767942,1,2,20,1.1060561857649882,3.8249676379419504
0,1,17.301442498213966,1,3,20,2.0653161304294767,4.392432867785569
0,1,18.51147293513515,1,4,19,1.2956648185836914,3.353415515693995
0,1,18.652374443592432,1,2,19,2.0542467642488305,3.252698689531715
0,1,19.56577927379858,1,1,22,1.2998892998872118,3.244084809571813
0,1,19.599540127495434,1,2,19,1.990113798972049,4.7322970142203475
0,1,20.533476894803886,2,2,23,3.729150934975886,4.491034473368869
0,1,20.748989106382965,2,2,18,2.1939120244474246,3.4097815995619847
0,1,20.81687664888665,1,1,21,3.627357002519526,3.7552180884259903
0,1,21.491436011243845,1,1,20,1.292118817918951,4.815184572649147
0,1,22.334361976450786,1,2,20,1.5130390835530034,3.340728646226307
0,1,22.817094972248,1,2,21,3.193174031518653,3.1405133842497412
0,1,23.559110137298322,1,3,21,1.211709325161181,3.469638053965008
0,1,23.796404806613793,1,4,22,2.348943967886468,4.9444599450971305
